Aasta;Maakond;Kuu;Arv
2009;Järva maakond;Jaanuar;2
2009;Lääne maakond;Jaanuar;6
2009;Lääne-Viru maakond;Jaanuar;5
2009;Põlva maakond;Jaanuar;1
2009;Pärnu maakond;Jaanuar;18
2009;Rapla maakond;Jaanuar;2
2009;Saare maakond;Jaanuar;4
2009;Tartu maakond;Jaanuar;28
2009;Valga maakond;Jaanuar;2
2009;Viljandi maakond;Jaanuar;2
2009;Võru maakond;Jaanuar;0
2010;Harju maakond;Jaanuar;127
2010;..Tallinn;Jaanuar;121
2010;Hiiu maakond;Jaanuar;0
2010;Ida-Viru maakond;Jaanuar;41
2010;Jõgeva maakond;Jaanuar;1
2010;Järva maakond;Jaanuar;2
2010;Lääne maakond;Jaanuar;1
2010;Lääne-Viru maakond;Jaanuar;6
2010;Põlva maakond;Jaanuar;0
2010;Pärnu maakond;Jaanuar;16
2010;Rapla maakond;Jaanuar;3
2010;Saare maakond;Jaanuar;3
2010;Tartu maakond;Jaanuar;20
2010;Valga maakond;Jaanuar;2
2010;Viljandi maakond;Jaanuar;2
2010;Võru maakond;Jaanuar;0
2011;Harju maakond;Jaanuar;103
2011;..Tallinn;Jaanuar;99
2011;Hiiu maakond;Jaanuar;1
2011;Ida-Viru maakond;Jaanuar;29
2011;Jõgeva maakond;Jaanuar;1
2011;Järva maakond;Jaanuar;1
2011;Lääne maakond;Jaanuar;3
2011;Lääne-Viru maakond;Jaanuar;4
2011;Põlva maakond;Jaanuar;2
2011;Pärnu maakond;Jaanuar;10
2011;Rapla maakond;Jaanuar;1
2011;Saare maakond;Jaanuar;2
2011;Tartu maakond;Jaanuar;32
2011;Valga maakond;Jaanuar;3
2011;Viljandi maakond;Jaanuar;7
2011;Võru maakond;Jaanuar;1
2012;Harju maakond;Jaanuar;113
2012;..Tallinn;Jaanuar;110
2012;Hiiu maakond;Jaanuar;1
2012;Ida-Viru maakond;Jaanuar;41
2012;Jõgeva maakond;Jaanuar;1
2012;Järva maakond;Jaanuar;1
2012;Lääne maakond;Jaanuar;4
2012;Lääne-Viru maakond;Jaanuar;3
2012;Põlva maakond;Jaanuar;0
2012;Pärnu maakond;Jaanuar;9
2012;Rapla maakond;Jaanuar;0
2012;Saare maakond;Jaanuar;3
2012;Tartu maakond;Jaanuar;25
2012;Valga maakond;Jaanuar;1
2012;Viljandi maakond;Jaanuar;6
2012;Võru maakond;Jaanuar;5
2013;Harju maakond;Jaanuar;120
2013;..Tallinn;Jaanuar;115
2013;Hiiu maakond;Jaanuar;0
2013;Ida-Viru maakond;Jaanuar;28
2013;Jõgeva maakond;Jaanuar;1
2013;Järva maakond;Jaanuar;1
2013;Lääne maakond;Jaanuar;1
2013;Lääne-Viru maakond;Jaanuar;5
2013;Põlva maakond;Jaanuar;3
2013;Pärnu maakond;Jaanuar;8
2013;Rapla maakond;Jaanuar;2
2013;Saare maakond;Jaanuar;5
2013;Tartu maakond;Jaanuar;24
2013;Valga maakond;Jaanuar;3
2013;Viljandi maakond;Jaanuar;2
2013;Võru maakond;Jaanuar;0
2014;Harju maakond;Jaanuar;149
2014;..Tallinn;Jaanuar;138
2014;Hiiu maakond;Jaanuar;0
2014;Ida-Viru maakond;Jaanuar;30
2014;Jõgeva maakond;Jaanuar;2
2014;Järva maakond;Jaanuar;3
2014;Lääne maakond;Jaanuar;4
2014;Lääne-Viru maakond;Jaanuar;2
2014;Põlva maakond;Jaanuar;3
2014;Pärnu maakond;Jaanuar;11
2014;Rapla maakond;Jaanuar;2
2014;Saare maakond;Jaanuar;2
2014;Tartu maakond;Jaanuar;14
2014;Valga maakond;Jaanuar;2
2014;Viljandi maakond;Jaanuar;4
2014;Võru maakond;Jaanuar;3
2015;Harju maakond;Jaanuar;147
2015;..Tallinn;Jaanuar;142
2015;Hiiu maakond;Jaanuar;1
2015;Ida-Viru maakond;Jaanuar;48
2015;Jõgeva maakond;Jaanuar;1
2015;Järva maakond;Jaanuar;4
2015;Lääne maakond;Jaanuar;5
2015;Lääne-Viru maakond;Jaanuar;10
2015;Põlva maakond;Jaanuar;2
2015;Pärnu maakond;Jaanuar;13
2015;Rapla maakond;Jaanuar;5
2015;Saare maakond;Jaanuar;2
2015;Tartu maakond;Jaanuar;31
2015;Valga maakond;Jaanuar;0
2015;Viljandi maakond;Jaanuar;5
2015;Võru maakond;Jaanuar;1
2016;Harju maakond;Jaanuar;147
2016;..Tallinn;Jaanuar;139
2016;Hiiu maakond;Jaanuar;0
2016;Ida-Viru maakond;Jaanuar;43
2016;Jõgeva maakond;Jaanuar;2
2016;Järva maakond;Jaanuar;2
2016;Lääne maakond;Jaanuar;2
2016;Lääne-Viru maakond;Jaanuar;11
2016;Põlva maakond;Jaanuar;2
2016;Pärnu maakond;Jaanuar;10
2016;Rapla maakond;Jaanuar;1
2016;Saare maakond;Jaanuar;5
2016;Tartu maakond;Jaanuar;29
2016;Valga maakond;Jaanuar;2
2016;Viljandi maakond;Jaanuar;5
2016;Võru maakond;Jaanuar;3
2017;Harju maakond;Jaanuar;130
2017;..Tallinn;Jaanuar;126
2017;Hiiu maakond;Jaanuar;2
2017;Ida-Viru maakond;Jaanuar;23
2017;Jõgeva maakond;Jaanuar;1
2017;Järva maakond;Jaanuar;0
2017;Lääne maakond;Jaanuar;5
2017;Lääne-Viru maakond;Jaanuar;7
2017;Põlva maakond;Jaanuar;2
2017;Pärnu maakond;Jaanuar;13
2017;Rapla maakond;Jaanuar;5
2017;Saare maakond;Jaanuar;6
2017;Tartu maakond;Jaanuar;30
2017;Valga maakond;Jaanuar;5
2017;Viljandi maakond;Jaanuar;8
2017;Võru maakond;Jaanuar;4
2018;Harju maakond;Jaanuar;145
2018;..Tallinn;Jaanuar;145
2018;Hiiu maakond;Jaanuar;0
2018;Ida-Viru maakond;Jaanuar;40
2018;Jõgeva maakond;Jaanuar;1
2018;Järva maakond;Jaanuar;2
2018;Lääne maakond;Jaanuar;3
2018;Lääne-Viru maakond;Jaanuar;4
2018;Põlva maakond;Jaanuar;0
2018;Pärnu maakond;Jaanuar;16
2018;Rapla maakond;Jaanuar;1
2018;Saare maakond;Jaanuar;1
2018;Tartu maakond;Jaanuar;28
2018;Valga maakond;Jaanuar;1
2018;Viljandi maakond;Jaanuar;6
2018;Võru maakond;Jaanuar;0
2019;Harju maakond;Jaanuar;162
2019;..Tallinn;Jaanuar;162
2019;Hiiu maakond;Jaanuar;0
2019;Ida-Viru maakond;Jaanuar;30
2019;Jõgeva maakond;Jaanuar;2
2019;Järva maakond;Jaanuar;6
2019;Lääne maakond;Jaanuar;4
2019;Lääne-Viru maakond;Jaanuar;5
2019;Põlva maakond;Jaanuar;2
2019;Pärnu maakond;Jaanuar;14
2019;Rapla maakond;Jaanuar;1
2019;Saare maakond;Jaanuar;4
2019;Tartu maakond;Jaanuar;32
2019;Valga maakond;Jaanuar;2
2019;Viljandi maakond;Jaanuar;6
2019;Võru maakond;Jaanuar;6
2020;Harju maakond;Jaanuar;179
2020;..Tallinn;Jaanuar;179
2020;Hiiu maakond;Jaanuar;1
2020;Ida-Viru maakond;Jaanuar;34
2020;Jõgeva maakond;Jaanuar;3
2020;Järva maakond;Jaanuar;1
2020;Lääne maakond;Jaanuar;2
2020;Lääne-Viru maakond;Jaanuar;7
2020;Põlva maakond;Jaanuar;2
2020;Pärnu maakond;Jaanuar;5
2020;Rapla maakond;Jaanuar;2
2020;Saare maakond;Jaanuar;4
2020;Tartu maakond;Jaanuar;19
2020;Valga maakond;Jaanuar;5
2020;Viljandi maakond;Jaanuar;6
2020;Võru maakond;Jaanuar;2
2006;Harju maakond;Veebruar;189
2006;..Tallinn;Veebruar;166
2006;Hiiu maakond;Veebruar;0
2006;Ida-Viru maakond;Veebruar;68
2006;Jõgeva maakond;Veebruar;2
2006;Järva maakond;Veebruar;3
2006;Lääne maakond;Veebruar;3
2006;Lääne-Viru maakond;Veebruar;16
2006;Põlva maakond;Veebruar;4
2006;Pärnu maakond;Veebruar;19
2006;Rapla maakond;Veebruar;4
2006;Saare maakond;Veebruar;2
2006;Tartu maakond;Veebruar;37
2006;Valga maakond;Veebruar;10
2006;Viljandi maakond;Veebruar;6
2006;Võru maakond;Veebruar;7
2007;Harju maakond;Veebruar;147
2007;..Tallinn;Veebruar;123
2007;Hiiu maakond;Veebruar;1
2007;Ida-Viru maakond;Veebruar;64
2007;Jõgeva maakond;Veebruar;4
2007;Järva maakond;Veebruar;9
2007;Lääne maakond;Veebruar;4
2007;Lääne-Viru maakond;Veebruar;9
2007;Põlva maakond;Veebruar;0
2007;Pärnu maakond;Veebruar;16
2007;Rapla maakond;Veebruar;4
2007;Saare maakond;Veebruar;2
2007;Tartu maakond;Veebruar;34
2007;Valga maakond;Veebruar;3
2007;Viljandi maakond;Veebruar;8
2007;Võru maakond;Veebruar;7
2008;Harju maakond;Veebruar;152
2008;..Tallinn;Veebruar;140
2008;Hiiu maakond;Veebruar;0
2008;Ida-Viru maakond;Veebruar;41
2008;Jõgeva maakond;Veebruar;4
2008;Järva maakond;Veebruar;6
2008;Lääne maakond;Veebruar;3
2008;Lääne-Viru maakond;Veebruar;8
2008;Põlva maakond;Veebruar;1
2008;Pärnu maakond;Veebruar;22
2008;Rapla maakond;Veebruar;0
2008;Saare maakond;Veebruar;3
2008;Tartu maakond;Veebruar;27
2008;Valga maakond;Veebruar;2
2008;Viljandi maakond;Veebruar;9
2008;Võru maakond;Veebruar;4
2009;Harju maakond;Veebruar;138
2009;..Tallinn;Veebruar;135
2009;Hiiu maakond;Veebruar;1
2009;Ida-Viru maakond;Veebruar;58
2009;Jõgeva maakond;Veebruar;2
2009;Järva maakond;Veebruar;6
2009;Lääne maakond;Veebruar;5
2009;Lääne-Viru maakond;Veebruar;11
2009;Põlva maakond;Veebruar;6
2009;Pärnu maakond;Veebruar;10
2009;Rapla maakond;Veebruar;2
2009;Saare maakond;Veebruar;2
2009;Tartu maakond;Veebruar;37
2009;Valga maakond;Veebruar;8
2009;Viljandi maakond;Veebruar;6
2009;Võru maakond;Veebruar;4
2010;Harju maakond;Veebruar;112
2010;..Tallinn;Veebruar;108
2010;Hiiu maakond;Veebruar;1
2010;Ida-Viru maakond;Veebruar;40
2010;Jõgeva maakond;Veebruar;1
2010;Järva maakond;Veebruar;2
2010;Lääne maakond;Veebruar;4
2010;Lääne-Viru maakond;Veebruar;8
2010;Põlva maakond;Veebruar;3
2010;Pärnu maakond;Veebruar;13
2010;Rapla maakond;Veebruar;1
2010;Saare maakond;Veebruar;3
2010;Tartu maakond;Veebruar;30
2010;Valga maakond;Veebruar;2
2010;Viljandi maakond;Veebruar;5
2010;Võru maakond;Veebruar;2
2011;Harju maakond;Veebruar;124
2011;..Tallinn;Veebruar;116
2011;Hiiu maakond;Veebruar;1
2011;Ida-Viru maakond;Veebruar;34
2011;Jõgeva maakond;Veebruar;3
2011;Järva maakond;Veebruar;1
2011;Lääne maakond;Veebruar;4
2011;Lääne-Viru maakond;Veebruar;11
2011;Põlva maakond;Veebruar;1
2011;Pärnu maakond;Veebruar;10
2011;Rapla maakond;Veebruar;2
2011;Saare maakond;Veebruar;1
2011;Tartu maakond;Veebruar;27
2011;Valga maakond;Veebruar;2
2011;Viljandi maakond;Veebruar;10
2011;Võru maakond;Veebruar;0
2012;Harju maakond;Veebruar;157
2012;..Tallinn;Veebruar;150
2012;Hiiu maakond;Veebruar;3
2012;Ida-Viru maakond;Veebruar;49
2012;Jõgeva maakond;Veebruar;1
2012;Järva maakond;Veebruar;1
2012;Lääne maakond;Veebruar;4
2012;Lääne-Viru maakond;Veebruar;7
2012;Põlva maakond;Veebruar;3
2012;Pärnu maakond;Veebruar;10
2012;Rapla maakond;Veebruar;3
2012;Saare maakond;Veebruar;2
2012;Tartu maakond;Veebruar;32
2012;Valga maakond;Veebruar;2
2012;Viljandi maakond;Veebruar;5
2012;Võru maakond;Veebruar;2
2013;Harju maakond;Veebruar;143
2013;..Tallinn;Veebruar;140
2013;Hiiu maakond;Veebruar;0
2013;Ida-Viru maakond;Veebruar;37
2013;Jõgeva maakond;Veebruar;0
2013;Järva maakond;Veebruar;4
2013;Lääne maakond;Veebruar;3
2013;Lääne-Viru maakond;Veebruar;15
2013;Põlva maakond;Veebruar;0
2013;Pärnu maakond;Veebruar;9
2013;Rapla maakond;Veebruar;6
2013;Saare maakond;Veebruar;4
2013;Tartu maakond;Veebruar;30
2013;Valga maakond;Veebruar;1
2013;Viljandi maakond;Veebruar;5
2013;Võru maakond;Veebruar;1
2014;Harju maakond;Veebruar;147
2014;..Tallinn;Veebruar;143
2014;Hiiu maakond;Veebruar;1
2014;Ida-Viru maakond;Veebruar;48
2014;Jõgeva maakond;Veebruar;3
2014;Järva maakond;Veebruar;4
2014;Lääne maakond;Veebruar;3
2014;Lääne-Viru maakond;Veebruar;9
2014;Põlva maakond;Veebruar;1
2014;Pärnu maakond;Veebruar;19
2014;Rapla maakond;Veebruar;3
2014;Saare maakond;Veebruar;3
2014;Tartu maakond;Veebruar;48
2014;Valga maakond;Veebruar;2
2014;Viljandi maakond;Veebruar;9
2014;Võru maakond;Veebruar;4
2015;Harju maakond;Veebruar;174
2015;..Tallinn;Veebruar;164
2015;Hiiu maakond;Veebruar;1
2015;Ida-Viru maakond;Veebruar;59
2015;Jõgeva maakond;Veebruar;3
2015;Järva maakond;Veebruar;3
2015;Lääne maakond;Veebruar;3
2015;Lääne-Viru maakond;Veebruar;11
2015;Põlva maakond;Veebruar;1
2015;Pärnu maakond;Veebruar;10
2015;Rapla maakond;Veebruar;5
2015;Saare maakond;Veebruar;5
2015;Tartu maakond;Veebruar;40
2015;Valga maakond;Veebruar;5
2015;Viljandi maakond;Veebruar;5
2015;Võru maakond;Veebruar;4
2016;Harju maakond;Veebruar;178
2016;..Tallinn;Veebruar;172
2016;Hiiu maakond;Veebruar;2
2016;Ida-Viru maakond;Veebruar;35
2016;Jõgeva maakond;Veebruar;1
2016;Järva maakond;Veebruar;7
2016;Lääne maakond;Veebruar;4
2016;Lääne-Viru maakond;Veebruar;10
2016;Põlva maakond;Veebruar;6
2016;Pärnu maakond;Veebruar;10
2016;Rapla maakond;Veebruar;2
2016;Saare maakond;Veebruar;6
2016;Tartu maakond;Veebruar;33
2016;Valga maakond;Veebruar;3
2016;Viljandi maakond;Veebruar;3
2016;Võru maakond;Veebruar;4
2017;Harju maakond;Veebruar;173
2017;..Tallinn;Veebruar;159
2017;Hiiu maakond;Veebruar;0
2017;Ida-Viru maakond;Veebruar;31
2017;Jõgeva maakond;Veebruar;2
2017;Järva maakond;Veebruar;1
2017;Lääne maakond;Veebruar;5
2017;Lääne-Viru maakond;Veebruar;9
2017;Põlva maakond;Veebruar;0
2017;Pärnu maakond;Veebruar;12
2017;Rapla maakond;Veebruar;4
2017;Saare maakond;Veebruar;7
2017;Tartu maakond;Veebruar;29
2017;Valga maakond;Veebruar;4
2017;Viljandi maakond;Veebruar;5
2017;Võru maakond;Veebruar;2
2018;Harju maakond;Veebruar;150
2018;..Tallinn;Veebruar;150
2018;Hiiu maakond;Veebruar;0
2018;Ida-Viru maakond;Veebruar;37
2018;Jõgeva maakond;Veebruar;2
2018;Järva maakond;Veebruar;3
2018;Lääne maakond;Veebruar;6
2018;Lääne-Viru maakond;Veebruar;5
2018;Põlva maakond;Veebruar;0
2018;Pärnu maakond;Veebruar;13
2018;Rapla maakond;Veebruar;3
2018;Saare maakond;Veebruar;5
2018;Tartu maakond;Veebruar;25
2018;Valga maakond;Veebruar;6
2018;Viljandi maakond;Veebruar;2
2018;Võru maakond;Veebruar;5
2019;Harju maakond;Veebruar;181
2019;..Tallinn;Veebruar;181
2019;Hiiu maakond;Veebruar;2
2019;Ida-Viru maakond;Veebruar;40
2019;Jõgeva maakond;Veebruar;1
2019;Järva maakond;Veebruar;3
2019;Lääne maakond;Veebruar;2
2019;Lääne-Viru maakond;Veebruar;12
2019;Põlva maakond;Veebruar;2
2019;Pärnu maakond;Veebruar;12
2019;Rapla maakond;Veebruar;1
2019;Saare maakond;Veebruar;7
2019;Tartu maakond;Veebruar;25
2019;Valga maakond;Veebruar;4
2019;Viljandi maakond;Veebruar;3
2019;Võru maakond;Veebruar;4
2020;Harju maakond;Veebruar;245
2020;..Tallinn;Veebruar;245
2020;Hiiu maakond;Veebruar;7
2020;Ida-Viru maakond;Veebruar;61
2020;Jõgeva maakond;Veebruar;6
2020;Järva maakond;Veebruar;9
2020;Lääne maakond;Veebruar;16
2020;Lääne-Viru maakond;Veebruar;23
2020;Põlva maakond;Veebruar;7
2020;Pärnu maakond;Veebruar;28
2020;Rapla maakond;Veebruar;21
2020;Saare maakond;Veebruar;13
2020;Tartu maakond;Veebruar;83
2020;Valga maakond;Veebruar;10
2020;Viljandi maakond;Veebruar;11
2020;Võru maakond;Veebruar;8
2006;Harju maakond;Märts;176
2006;..Tallinn;Märts;168
2006;Hiiu maakond;Märts;0
2006;Ida-Viru maakond;Märts;74
2006;Jõgeva maakond;Märts;6
2006;Järva maakond;Märts;4
2006;Lääne maakond;Märts;6
2006;Lääne-Viru maakond;Märts;15
2006;Põlva maakond;Märts;1
2006;Pärnu maakond;Märts;33
2006;Rapla maakond;Märts;4
2006;Saare maakond;Märts;2
2006;Tartu maakond;Märts;47
2006;Valga maakond;Märts;7
2006;Viljandi maakond;Märts;7
2006;Võru maakond;Märts;1
2007;Harju maakond;Märts;178
2007;..Tallinn;Märts;172
2007;Hiiu maakond;Märts;0
2007;Ida-Viru maakond;Märts;68
2007;Jõgeva maakond;Märts;4
2007;Järva maakond;Märts;8
2007;Lääne maakond;Märts;7
2007;Lääne-Viru maakond;Märts;19
2007;Põlva maakond;Märts;6
2007;Pärnu maakond;Märts;24
2007;Rapla maakond;Märts;9
2007;Saare maakond;Märts;2
2007;Tartu maakond;Märts;51
2007;Valga maakond;Märts;9
2007;Viljandi maakond;Märts;12
2007;Võru maakond;Märts;1
2008;Harju maakond;Märts;131
2008;..Tallinn;Märts;126
2008;Hiiu maakond;Märts;2
2008;Ida-Viru maakond;Märts;66
2008;Jõgeva maakond;Märts;5
2008;Järva maakond;Märts;9
2008;Lääne maakond;Märts;6
2008;Lääne-Viru maakond;Märts;8
2008;Põlva maakond;Märts;1
2008;Pärnu maakond;Märts;13
2008;Rapla maakond;Märts;8
2008;Saare maakond;Märts;4
2008;Tartu maakond;Märts;32
2008;Valga maakond;Märts;9
2008;Viljandi maakond;Märts;7
2008;Võru maakond;Märts;3
2009;Harju maakond;Märts;106
2009;..Tallinn;Märts;105
2009;Hiiu maakond;Märts;2
2009;Ida-Viru maakond;Märts;50
2009;Jõgeva maakond;Märts;0
2009;Järva maakond;Märts;9
2009;Lääne maakond;Märts;7
2009;Lääne-Viru maakond;Märts;9
2009;Põlva maakond;Märts;0
2009;Pärnu maakond;Märts;10
2009;Rapla maakond;Märts;4
2009;Saare maakond;Märts;4
2009;Tartu maakond;Märts;30
2009;Valga maakond;Märts;9
2009;Viljandi maakond;Märts;9
2009;Võru maakond;Märts;4
2010;Harju maakond;Märts;121
2010;..Tallinn;Märts;115
2010;Hiiu maakond;Märts;0
2010;Ida-Viru maakond;Märts;36
2010;Jõgeva maakond;Märts;4
2010;Järva maakond;Märts;2
2010;Lääne maakond;Märts;2
2010;Lääne-Viru maakond;Märts;10
2010;Põlva maakond;Märts;0
2010;Pärnu maakond;Märts;10
2010;Rapla maakond;Märts;4
2010;Saare maakond;Märts;5
2010;Tartu maakond;Märts;21
2010;Valga maakond;Märts;6
2010;Viljandi maakond;Märts;4
2010;Võru maakond;Märts;3
2011;Harju maakond;Märts;134
2011;..Tallinn;Märts;130
2011;Hiiu maakond;Märts;1
2011;Ida-Viru maakond;Märts;48
2011;Jõgeva maakond;Märts;2
2011;Järva maakond;Märts;6
2011;Lääne maakond;Märts;1
2011;Lääne-Viru maakond;Märts;6
2011;Põlva maakond;Märts;0
2011;Pärnu maakond;Märts;11
2011;Rapla maakond;Märts;0
2011;Saare maakond;Märts;2
2011;Tartu maakond;Märts;32
2011;Valga maakond;Märts;2
2011;Viljandi maakond;Märts;6
2011;Võru maakond;Märts;4
2012;Harju maakond;Märts;110
2012;..Tallinn;Märts;109
2012;Hiiu maakond;Märts;0
2012;Ida-Viru maakond;Märts;36
2012;Jõgeva maakond;Märts;3
2012;Järva maakond;Märts;4
2012;Lääne maakond;Märts;2
2012;Lääne-Viru maakond;Märts;11
2012;Põlva maakond;Märts;4
2012;Pärnu maakond;Märts;5
2012;Rapla maakond;Märts;3
2012;Saare maakond;Märts;5
2012;Tartu maakond;Märts;46
2012;Valga maakond;Märts;3
2012;Viljandi maakond;Märts;11
2012;Võru maakond;Märts;2
2013;Harju maakond;Märts;133
2013;..Tallinn;Märts;132
2013;Hiiu maakond;Märts;2
2013;Ida-Viru maakond;Märts;51
2013;Jõgeva maakond;Märts;4
2013;Järva maakond;Märts;6
2013;Lääne maakond;Märts;4
2013;Lääne-Viru maakond;Märts;8
2013;Põlva maakond;Märts;1
2013;Pärnu maakond;Märts;10
2013;Rapla maakond;Märts;5
2013;Saare maakond;Märts;3
2013;Tartu maakond;Märts;37
2013;Valga maakond;Märts;3
2013;Viljandi maakond;Märts;0
2013;Võru maakond;Märts;4
2014;Harju maakond;Märts;161
2014;..Tallinn;Märts;153
2014;Hiiu maakond;Märts;1
2014;Ida-Viru maakond;Märts;34
2014;Jõgeva maakond;Märts;2
2014;Järva maakond;Märts;4
2014;Lääne maakond;Märts;5
2014;Lääne-Viru maakond;Märts;8
2014;Põlva maakond;Märts;2
2014;Pärnu maakond;Märts;14
2014;Rapla maakond;Märts;7
2014;Saare maakond;Märts;6
2014;Tartu maakond;Märts;24
2014;Valga maakond;Märts;6
2014;Viljandi maakond;Märts;8
2014;Võru maakond;Märts;1
2015;Harju maakond;Märts;180
2015;..Tallinn;Märts;172
2015;Hiiu maakond;Märts;0
2015;Ida-Viru maakond;Märts;43
2015;Jõgeva maakond;Märts;2
2015;Järva maakond;Märts;5
2015;Lääne maakond;Märts;7
2015;Lääne-Viru maakond;Märts;9
2015;Põlva maakond;Märts;5
2015;Pärnu maakond;Märts;12
2015;Rapla maakond;Märts;4
2015;Saare maakond;Märts;3
2015;Tartu maakond;Märts;31
2015;Valga maakond;Märts;3
2015;Viljandi maakond;Märts;8
2015;Võru maakond;Märts;5
2016;Harju maakond;Märts;178
2016;..Tallinn;Märts;170
2016;Hiiu maakond;Märts;0
2016;Ida-Viru maakond;Märts;49
2016;Jõgeva maakond;Märts;2
2016;Järva maakond;Märts;2
2016;Lääne maakond;Märts;3
2016;Lääne-Viru maakond;Märts;8
2016;Põlva maakond;Märts;3
2016;Pärnu maakond;Märts;14
2016;Rapla maakond;Märts;3
2016;Saare maakond;Märts;3
2016;Tartu maakond;Märts;36
2016;Valga maakond;Märts;3
2016;Viljandi maakond;Märts;5
2016;Võru maakond;Märts;2
2017;Harju maakond;Märts;196
2017;..Tallinn;Märts;184
2017;Hiiu maakond;Märts;0
2017;Ida-Viru maakond;Märts;35
2017;Jõgeva maakond;Märts;3
2017;Järva maakond;Märts;6
2017;Lääne maakond;Märts;1
2017;Lääne-Viru maakond;Märts;3
2017;Põlva maakond;Märts;7
2017;Pärnu maakond;Märts;22
2017;Rapla maakond;Märts;5
2017;Saare maakond;Märts;3
2017;Tartu maakond;Märts;38
2017;Valga maakond;Märts;2
2017;Viljandi maakond;Märts;9
2017;Võru maakond;Märts;10
2018;Harju maakond;Märts;130
2018;..Tallinn;Märts;130
2018;Hiiu maakond;Märts;0
2018;Ida-Viru maakond;Märts;29
2018;Jõgeva maakond;Märts;1
2018;Järva maakond;Märts;4
2018;Lääne maakond;Märts;4
2018;Lääne-Viru maakond;Märts;15
2018;Põlva maakond;Märts;1
2018;Pärnu maakond;Märts;11
2018;Rapla maakond;Märts;6
2018;Saare maakond;Märts;6
2018;Tartu maakond;Märts;34
2018;Valga maakond;Märts;3
2018;Viljandi maakond;Märts;1
2018;Võru maakond;Märts;3
2019;Harju maakond;Märts;165
2019;..Tallinn;Märts;165
2019;Hiiu maakond;Märts;2
2019;Ida-Viru maakond;Märts;53
2019;Jõgeva maakond;Märts;1
2019;Järva maakond;Märts;2
2019;Lääne maakond;Märts;8
2019;Lääne-Viru maakond;Märts;18
2019;Põlva maakond;Märts;1
2019;Pärnu maakond;Märts;16
2019;Rapla maakond;Märts;7
2019;Saare maakond;Märts;2
2019;Tartu maakond;Märts;48
2019;Valga maakond;Märts;6
2019;Viljandi maakond;Märts;8
2019;Võru maakond;Märts;3
2020;Harju maakond;Märts;153
2020;..Tallinn;Märts;153
2020;Hiiu maakond;Märts;1
2020;Ida-Viru maakond;Märts;21
2020;Jõgeva maakond;Märts;6
2020;Järva maakond;Märts;7
2020;Lääne maakond;Märts;4
2020;Lääne-Viru maakond;Märts;7
2020;Põlva maakond;Märts;4
2020;Pärnu maakond;Märts;5
2020;Rapla maakond;Märts;4
2020;Saare maakond;Märts;7
2020;Tartu maakond;Märts;39
2020;Valga maakond;Märts;4
2020;Viljandi maakond;Märts;8
2020;Võru maakond;Märts;2
2006;Harju maakond;Aprill;173
2006;..Tallinn;Aprill;163
2006;Hiiu maakond;Aprill;4
2006;Ida-Viru maakond;Aprill;54
2006;Jõgeva maakond;Aprill;5
2006;Järva maakond;Aprill;6
2006;Lääne maakond;Aprill;7
2006;Lääne-Viru maakond;Aprill;11
2006;Põlva maakond;Aprill;2
2006;Pärnu maakond;Aprill;24
2006;Rapla maakond;Aprill;4
2006;Saare maakond;Aprill;3
2006;Tartu maakond;Aprill;41
