Aasta;Maakond;Kuu;Arv
2007;Viljandi maakond;Veebruar;10
2007;Võru maakond;Veebruar;8
2008;Harju maakond;Veebruar;137
2008;..Tallinn;Veebruar;129
2008;Hiiu maakond;Veebruar;1
2008;Ida-Viru maakond;Veebruar;44
2008;Jõgeva maakond;Veebruar;3
2008;Järva maakond;Veebruar;4
2008;Lääne maakond;Veebruar;5
2008;Lääne-Viru maakond;Veebruar;7
2008;Põlva maakond;Veebruar;5
2008;Pärnu maakond;Veebruar;14
2008;Rapla maakond;Veebruar;6
2008;Saare maakond;Veebruar;6
2008;Tartu maakond;Veebruar;22
2008;Valga maakond;Veebruar;1
2008;Viljandi maakond;Veebruar;5
2008;Võru maakond;Veebruar;6
2009;Harju maakond;Veebruar;105
2009;..Tallinn;Veebruar;91
2009;Hiiu maakond;Veebruar;0
2009;Ida-Viru maakond;Veebruar;30
2009;Jõgeva maakond;Veebruar;4
2009;Järva maakond;Veebruar;2
2009;Lääne maakond;Veebruar;2
2009;Lääne-Viru maakond;Veebruar;12
2009;Põlva maakond;Veebruar;1
2009;Pärnu maakond;Veebruar;12
2009;Rapla maakond;Veebruar;8
2009;Saare maakond;Veebruar;6
2009;Tartu maakond;Veebruar;22
2009;Valga maakond;Veebruar;3
2009;Viljandi maakond;Veebruar;4
2009;Võru maakond;Veebruar;5
2010;Harju maakond;Veebruar;96
2010;..Tallinn;Veebruar;87
2010;Hiiu maakond;Veebruar;0
2010;Ida-Viru maakond;Veebruar;34
2010;Jõgeva maakond;Veebruar;2
2010;Järva maakond;Veebruar;1
2010;Lääne maakond;Veebruar;2
2010;Lääne-Viru maakond;Veebruar;5
2010;Põlva maakond;Veebruar;6
2010;Pärnu maakond;Veebruar;12
2010;Rapla maakond;Veebruar;0
2010;Saare maakond;Veebruar;4
2010;Tartu maakond;Veebruar;34
2010;Valga maakond;Veebruar;4
2010;Viljandi maakond;Veebruar;3
2010;Võru maakond;Veebruar;2
2011;Harju maakond;Veebruar;122
2011;..Tallinn;Veebruar;114
2011;Hiiu maakond;Veebruar;1
2011;Ida-Viru maakond;Veebruar;40
2011;Jõgeva maakond;Veebruar;4
2011;Järva maakond;Veebruar;1
2011;Lääne maakond;Veebruar;1
2011;Lääne-Viru maakond;Veebruar;13
2011;Põlva maakond;Veebruar;3
2011;Pärnu maakond;Veebruar;11
2011;Rapla maakond;Veebruar;0
2011;Saare maakond;Veebruar;4
2011;Tartu maakond;Veebruar;25
2011;Valga maakond;Veebruar;6
2011;Viljandi maakond;Veebruar;11
2011;Võru maakond;Veebruar;2
2012;Harju maakond;Veebruar;124
2012;..Tallinn;Veebruar;116
2012;Hiiu maakond;Veebruar;0
2012;Ida-Viru maakond;Veebruar;31
2012;Jõgeva maakond;Veebruar;1
2012;Järva maakond;Veebruar;5
2012;Lääne maakond;Veebruar;2
2012;Lääne-Viru maakond;Veebruar;5
2012;Põlva maakond;Veebruar;3
2012;Pärnu maakond;Veebruar;9
2012;Rapla maakond;Veebruar;7
2012;Saare maakond;Veebruar;2
2012;Tartu maakond;Veebruar;35
2012;Valga maakond;Veebruar;4
2012;Viljandi maakond;Veebruar;3
2012;Võru maakond;Veebruar;4
2013;Harju maakond;Veebruar;128
2013;..Tallinn;Veebruar;112
2013;Hiiu maakond;Veebruar;1
2013;Ida-Viru maakond;Veebruar;35
2013;Jõgeva maakond;Veebruar;8
2013;Järva maakond;Veebruar;3
2013;Lääne maakond;Veebruar;0
2013;Lääne-Viru maakond;Veebruar;6
