Aadress	ID
Kesa 5 Põlva Põlva vald Põlvamaa	2042469
Lauliku 16 Vahetuse võimalus korter+komp Elva Tartumaa	2042471
Moonakatemaja Uus hind Toolamaa Räpina vald Põlvamaa	2042474
Palupera tee 10 Otepää Otepää vald Valgamaa	2042476
Siila Jaanimõisa Mooste vald Põlvamaa	2042484
Tammiste Sauga vald Pärnumaa	2042523
Tammiste Sauga vald Pärnumaa	2042524
 3 Sauga vald Pärnumaa	2042528
Kihlepa Audru vald Pärnumaa	2042530
 12 Reiu Tahkuranna vald Pärnumaa	2042537
Aesoo Tori vald Pärnumaa	2042540
 Reiu Tahkuranna vald Pärnumaa	2042542
Tiigi 35 Audru Audru vald Pärnumaa	2042586
Käärasoo 8 Paikuse Paikuse vald Pärnumaa	2042587
Kuuse 1 Kadapiku Kadrina vald Lääne-Virumaa	2042598
Nadalama Väike-Maarja vald Lääne-Virumaa	2042600
 Liu Audru vald Pärnumaa	2042602
Vintri Ulliste Vintri Salme vald Saaremaa	2042607
Tiigi Väljaküla Alatskivi vald Tartumaa	2042608
Puraviku 4 Laane Ülenurme vald Tartumaa	2042610
Kullikopli talu Hirmuküla Karksi vald Viljandimaa	2042620
valuoja pst Viljandi Viljandimaa	2042632
Vilde tn 18 Rakvere Lääne-Virumaa	2042655
Rohu tn Kiviõli Ida-Virumaa	2042664
Kanarbiku 1 Paralepa Ridala vald Läänemaa	2042701
Pärnjõe Vändra vald Pärnumaa	2042727
Pärnu - Paide mnt. 7 Vändra Vändra vald (alev) Pärnumaa	2042776
 Oara Audru vald Pärnumaa	2042777
 Päigiste Halliste vald Viljandimaa	2042778
Lepa Haapsalu Läänemaa	2042800
Peetri Pärnu Pärnumaa	2042838
Roosi Pärnu Pärnumaa	2042842
Jaama Pärnu Pärnumaa	2042846
Jaama Illuka vald Ida-Virumaa	2043044
Väike-Pungerja Mäetaguse vald Ida-Virumaa	2043045
Nurmsi Paide vald Järvamaa	2043046
Rassi Türi vald Järvamaa	2043047
Eisma Vihula vald Lääne-Virumaa	2043049
Muna Nüpli Otepää vald Valgamaa	2043055
Pärna 3 Otepää Otepää vald Valgamaa	2043069
Riia mnt. 89 Viljandi Viljandimaa	2043080
Narva-Jõesuu Ida-Virumaa	2043085
Kiriku 35 Kallaste Tartumaa	2043086
Kesk 1 Tamsalu Tamsalu vald Lääne-Virumaa	2043097
Ringtee Tõrvandi Ülenurme vald Tartumaa	2043104
Räägujõe Kurena Are vald Pärnumaa	2043142
Kalda 1 Helmküla Varbla vald Pärnumaa	2043264
Tähe 4 Elva Tartumaa	2043282
Toominga 4 Paikuse Paikuse vald Pärnumaa	2043289
Künka Uulu Tahkuranna vald Pärnumaa	2043291
 Luuri Vändra vald Pärnumaa	2043292
Võru Ropka Tartu Tartumaa	2043297
Võnnu 5 Haapsalu Haapsalu Läänemaa	2043308
Võidu 22 Orissaare Orissaare vald Saaremaa	2043314
 Tusti Muhu vald Saaremaa	2043316
Indu Rabavere Koonga vald Pärnumaa	2043323
Kurina 26 Randivälja Tori vald Pärnumaa	2043324
Liisa Uulu Tahkuranna vald Pärnumaa	2043325
Kooli 43 Pärnu Pärnumaa	2043331
Ute Lemmatsi Ülenurme vald Tartumaa	2043369
Lahe tee 3 Laheküla Lääne-Saare vald Saaremaa	2043411
Koidu 2a Jõhvi Jõhvi Jõhvi vald Ida-Virumaa	2043440
Võru Kambja Kambja vald Tartumaa	2043451
Jõekalda 45 Silla Paikuse vald Pärnumaa	2043483
Vaba Karlova Tartu Tartumaa	2043539
Noonu Välja Noonu Vihula vald Lääne-Virumaa	2043571
Väike-kure Kurepalu Haaslava vald Tartumaa	2043574
Lillevälja tee Veibri Luunja vald Tartumaa	2043575
Välgita Välgita Viljandi vald Viljandimaa	2043584
Kõrgepõllu tee Vana-Võidu Viljandi vald Viljandimaa	2043585
Kõrgepõllu tee Vana-Võidu Viljandi vald Viljandimaa	2043586
Vahe Viljandi Viljandimaa	2043592
Jakobsoni Viljandi Viljandimaa	2043604
Põhjatamme Ihaste Tartu Tartumaa	2043638
Talu tee 7 Tõrvandi Ülenurme vald Tartumaa	2043641
Kurge Läste Tapa vald Lääne-Virumaa	2043643
Sauga vald Eametsa küla Võilille tee 5 Pärnu Pärnumaa	2043678
Kesklinn Pärnu Pärnumaa	2043679
Tammiste Nõlva põik 2-2 Pärnu Pärnumaa	2043680
Niidu Sindi Pärnumaa	2043682
  Reiu Tahkuranna vald Pärnumaa	2043683
Tõnu Treimani Häädemeeste vald Pärnumaa	2043685
Sõpruse tn Tiheda Kasepää vald Jõgevamaa	2043867
Püssi Pärnu Pärnumaa	2043884
. Uulu Tahkuranna vald Pärnumaa	2043913
Laadi tee 18 Uulu Tahkuranna vald Pärnumaa	2043914
Viira tee Reiu Tahkuranna vald Pärnumaa	2043915
' Krundiküla Häädemeeste vald Pärnumaa	2043916
. Ilvese Surju vald Pärnumaa	2043917
Teeääre Uulu Tahkuranna vald Pärnumaa	2043920
Hõbemäe talu Saagri Misso vald Võrumaa	2043925
Välja Tõrva Valgamaa	2043936
Välja Tõrva Valgamaa	2043937
Türna Pajualuse Jõhvi vald Ida-Virumaa	2043971
Kihlevere Kihlevere Kadrina vald Lääne-Virumaa	2043975
Kooli tee 21 Antsla Antsla vald Võrumaa	2043984
Aia Puiatu Viljandi vald Viljandimaa	2043988
Koruste Rõngu vald Tartumaa	2044017
Väljaku 5A Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2044019
Pikasilla Põdrala vald Valgamaa	2044078
Pikasilla Põdrala vald Valgamaa	2044080
Jalaka 10 Sindi Pärnumaa	2044092
Sputniku 19 Lelle Kehtna vald Raplamaa	2044283
 Hara Noarootsi vald Läänemaa	2044330
Paate Kukruse Kohtla-Järve Ida-Virumaa	2044453
Kirsi 1 Viljandi Viljandimaa	2044473
Kopli 5 Viljandi Viljandimaa	2044479
Pae 13 Jõhvi Jõhvi vald Ida-Virumaa	2044491
Kirna mõis Kirna Türi vald Järvamaa	2044503
Kirna mõis Kirna Türi vald Järvamaa	2044510
Välja Tõrva Valgamaa	2044514
Tallinna mnt. 17 Virtsu Hanila vald Läänemaa	2044527
Kanarbiku 1 Paralepa Ridala vald Läänemaa	2044533
Kase 23 Valga Valgamaa	2044550
Kase 23 Valga Valgamaa	2044551
Kose Jõhvi vald Ida-Virumaa	2044564
Toominga Jaamaküla Surju vald Pärnumaa	2044577
Valga mnt. Tihemetsa Saarde vald Pärnumaa	2044588
Valga mnt. Tihemetsa Saarde vald Pärnumaa	2044589
Vahtra Rakvere Lääne-Virumaa	2044596
Vahtra Rakvere Lääne-Virumaa	2044604
Võsa Rapla Rapla vald Raplamaa	2044606
Võsa Rapla Rapla vald Raplamaa	2044619
Jõekääru Saunja Lääne-Nigula vald Läänemaa	2044708
Lootuse 18 Karlova Tartu Tartumaa	2044738
Koidula Türi Türi vald Järvamaa	2044769
Jaani-Mursi talu Tänassilma Viljandi vald Viljandimaa	2044793
Uueveski tee Viljandi Viljandimaa	2044802
Rägavere vald Lääne-Virumaa	2044808
Niidu Võhma Viljandimaa	2044818
Põllu Paide Järvamaa	2044823
Metsavahi . Orgita Märjamaa vald Raplamaa	2044828
Metsavahi . Orgita Märjamaa vald Raplamaa	2044842
Karikakra Tõrvandi Ülenurme vald Tartumaa	2044867
Kuuse Kehtna Kehtna vald Raplamaa	2044871
Kuuse Kehtna Kehtna vald Raplamaa	2044872
Nooruse Kehtna Kehtna vald Raplamaa	2044874
Karikakra Tõrvandi Ülenurme vald Tartumaa	2044876
Sipa tn Märjamaa Märjamaa vald Raplamaa	2044881
Sipa tn Märjamaa Märjamaa vald Raplamaa	2044882
Nooruse Kehtna Kehtna vald Raplamaa	2044885
Rehe Sikeldi Rapla vald Raplamaa	2044912
Rehe Sikeldi Rapla vald Raplamaa	2044915
Vahakõnnu Raikküla vald Raplamaa	2044947
Vahakõnnu Raikküla vald Raplamaa	2044948
Toome Viljandi Viljandimaa	2044979
Toome Viljandi Viljandimaa	2044980
Tallinna 5 Paide Järvamaa	2045027
Tallinna 5 Paide Järvamaa	2045028
Kuuse 15 Elva Tartumaa	2045033
Kuuse 15 Elva Tartumaa	2045037
Kullipesa Vatla Hanila vald Läänemaa	2045055
Paju 10 Kohila Kohila vald Raplamaa	2045110
Käärasoo tee Paikuse Paikuse vald Pärnumaa	2045147
Siniliilia tee Ihaste Tartu Tartumaa	2045148
heina tn 12 Räni Ülenurme vald Tartumaa	2045161
Türi Türi vald Järvamaa	2045195
Karikakra Tõrvandi Ülenurme vald Tartumaa	2045203
Suve-Talu 1 Koogu Aseri vald Ida-Virumaa	2045209
Maarjatähe 16 Räni Ülenurme vald Tartumaa	2045217
Oja 39 Pärnu Pärnumaa	2045226
Jaani 7 Otepää Otepää vald Valgamaa	2045229
Mäesilla - Holvandi Põlva vald Põlvamaa	2045233
Linnu tee 9 Sindi Pärnumaa	2045235
Laeva-Aasa Konuvere Märjamaa vald Raplamaa	2045260
Laeva-Aasa Konuvere Märjamaa vald Raplamaa	2045265
Põllu 26 Kadrina Kadrina vald Lääne-Virumaa	2045275
Põllu 26 Kadrina Kadrina vald Lääne-Virumaa	2045276
Jõgeveste Helme vald Valgamaa	2045303
Märja . Kükita Kasepää vald Jõgevamaa	2045310
Märja . Kükita Kasepää vald Jõgevamaa	2045311
Jõgeveste Helme vald Valgamaa	2045316
Kallaku Uusküla Rapla vald Raplamaa	2045327
Vesiveski Vana-Vastseliina Vastseliina vald Võrumaa	2045329
Vesiveski Vana-Vastseliina Vastseliina vald Võrumaa	2045330
Kallaku Uusküla Rapla vald Raplamaa	2045352
Utessuu Rõuge vald Võrumaa	2045359
Ehitaja 22   Tammelinn Tartu Tartumaa	2045398
Kärsa Ahja Ahja vald Põlvamaa	2045444
Vainukase Nõmme Ridala vald Läänemaa	2045447
Kadaka tee 4 Aardla Haaslava vald Tartumaa	2045450
Kastolatsi tee Otepää Otepää vald Valgamaa	2045465
Ploomi 8 Sindi Pärnumaa	2045512
Ploomi 8 Sindi Pärnumaa	2045513
Kaluri 5 Mustvee Jõgevamaa	2045525
Käbi 3 Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2045531
Kaluri 5 Mustvee Jõgevamaa	2045535
Käbi 3 Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2045537
Aasa 10 Avinurme Avinurme vald Ida-Virumaa	2045557
Aasa 10 Avinurme Avinurme vald Ida-Virumaa	2045563
Mere pst. 3 Pärnu Pärnumaa	2045586
Mere pst. 3 Pärnu Pärnumaa	2045587
Mäe Narva-Jõesuu Ida-Virumaa	2045596
Mäe Narva-Jõesuu Ida-Virumaa	2045597
Mahlamäe 10 Rapla Rapla vald Raplamaa	2045652
Aasa talu Kullamaa Kullamaa vald Läänemaa	2045655
Kuuse Valga Valgamaa	2045781
Tõravere Tõravere Nõo vald Tartumaa	2045795
Ehitaja 22 Maarjamõisa Tartu Tartumaa	2045801
Ehitaja 22 Tammelinn Tartu Tartumaa	2045869
Marjamäe küla Marjamäe Tarvastu vald Viljandimaa	2045905
Vilja Viljandi Viljandimaa	2045918
Kütuse 7 Rakvere Lääne-Virumaa	2045922
Kõvaküla Karksi vald Viljandimaa	2045926
 puhkemaja Diby Vormsi vald Läänemaa	2045942
Õuna 6 Tapa Tapa vald Lääne-Virumaa	2045945
Kupataja Tartu vald Tartumaa	2045946
Kupataja Tartu vald Tartumaa	2045947
Õuna 6 Tapa Tapa vald Lääne-Virumaa	2045950
Vainu Paluküla Kehtna vald Raplamaa	2045978
Kruusa Purdi Paide vald Järvamaa	2046066
Pikk 8 Otepää Otepää vald Valgamaa	2046069
Laari Kõnnujõe Tabivere vald Jõgevamaa	2046183
Jaama 3 Pärnu Pärnumaa	2046190
Võru 101 Valga Valgamaa	2046309
Võru 101 Valga Valgamaa	2046310
Paju Jõõdre Ridala vald Läänemaa	2046321
Paju Jõõdre Ridala vald Läänemaa	2046322
Pallase pst Ihaste Tartu Tartumaa	2046352
Vee 14 Pärnu Pärnumaa	2046481
Vee 14 Pärnu Pärnumaa	2046482
Juhapõllu Seljametsa Paikuse vald Pärnumaa	2046541
Juhapõllu Seljametsa Paikuse vald Pärnumaa	2046542
Juhapõllu Seljametsa Paikuse vald Pärnumaa	2046543
Pihkva 35A Mustvee Jõgevamaa	2046548
Kasepää  Kasepää Peipsiääre vald Tartumaa	2046549
Jaagutõrenurme Põltsamaa vald Jõgevamaa	2046586
Saaremäe Alu Rapla vald Raplamaa	2046589
Pärna Maidla Juuru vald Raplamaa	2046590
