Aadress	ID
Maarjatähe 5 Räni Ülenurme vald Tartumaa	1380932
Põhjaristi pst. Muraste Harku vald Harjumaa	1381193
Metsa 54.. Nõmme Tallinn Harjumaa	1381340
Hundi põik 3 Haabneeme Viimsi vald Harjumaa	1381360
Kulli tn ... Kulli Raasiku vald Harjumaa	1381371
Aadu 1 Olustvere lähistel Suure-Jaani vald Viljandimaa	1381398
Pargi    Pragi Laheda vald Põlvamaa	1381474
Hundi tee 32 Haabneeme Viimsi vald Harjumaa	1381650
Taara 35A Tapa Tapa vald Lääne-Virumaa	1381743
Riida  Ridasi Muhu vald Saaremaa	1382062
Veskimöldre Metsa 31 Laagri Saue vald Harjumaa	1382068
Veskimöldre Metsa 31 Laagri Saue vald Harjumaa	1382069
Rätsepa tee 24 Rätsepa elurajoon Lähtse Kiili vald Harjumaa	1382245
Nurme tn. 18  Kehra Kehra Anija vald Harjumaa	1382298
Lillevälja tee 19 Veibri Luunja vald Tartumaa	1382351
Murelipuu Muuga Pirita Tallinn Harjumaa	1382583
Perve 6 Valga Valgamaa	1382607
Urva * Padise vald Harjumaa	1382608
Järveääre tee 8 Peetri Rae vald Harjumaa	1382616
Triigi * Triigi Väike-Maarja vald Lääne-Virumaa	1382618
Luha * Räpina vald Põlvamaa	1382624
Tedre 14 Muraste Harku vald Harjumaa	1382627
Sädeme 17 Haabersti Tallinn Harjumaa	1382640
Taludevahe 44 Tiskre Haabersti Tallinn Harjumaa	1382830
Suvila 1 Kiisa Saku vald Harjumaa	1382850
Daalia tee Viimsi Viimsi vald Harjumaa	1382862
Närapää Kanepi vald Põlvamaa	1383208
Kaevuaia tee Randvere Viimsi vald Harjumaa	1383281
Perve 6 Valga Valgamaa	1383594
 5 Vorbuse Tähtvere Tartu Tartumaa	1383618
Käru Käru vald Raplamaa	1383645
Treimani - broneeritud Treimani Häädemeeste vald Pärnumaa	1383805
Mulla või  Märjamaa Märjamaa vald Raplamaa	1383806
Vesiveski Vihterpalu Padise vald Harjumaa	1383807
Schumi Suigu Are vald Pärnumaa	1383808
