"ID";Aadress;Täisaadress;Objekti liik;Tase1 kood;Tase1 nimetus;Tase2 kood;Tase2 nimetus;Tase3 kood;Tase3 nimetus;Tase4 kood;Tase4 nimetus;Tase5 kood;Tase5 nimetus;Tase6 kood;Tase6 nimetus;Tase7 kood;Tase7 nimetus;Tase8 kood;Tase8 nimetus;Koodaadress;ADR ID;L-Est X;L-Est Y;N;E;N (dms);E (dms)
2236322;Akseli Roosi Laheda vald Põlvamaa;Põlva maakond;1;64;Põlva maakond;000;;;;;;;;;;;;;;640000000000000000000000000000000;3132967;6438625;680293;58,05194;27,05446;"58°3'6.97""";"27°3'16.04"""
2236338;Eriku - vahetusvõimalused . Vändra vald Pärnumaa;Pärnu maakond;1;68;Pärnu maakond;000;;;;;;;;;;;;;;680000000000000000000000000000000;2908388;6471454;529885;58,38253;24,51088;"58°22'57.11""";"24°30'39.17"""
2236362;Vastse-Kuuste Vastse-Kuuste Vastse-Kuuste vald Põlvamaa;"Põlva maakond, Põlva vald, Vastse-Kuuste alevik";1;64;Põlva maakond;622;Põlva vald;9128;Vastse-Kuuste alevik;;;;;;;;;;;646229128000000000000000000000000;3158415;6451650;673060;58,17167;26,94175;"58°10'18.00""";"26°56'30.29"""
2236366;Kärgula Kärgula Sõmerpalu vald Võrumaa;"Võru maakond, Võru vald, Kärgula küla";1;87;Võru maakond;917;Võru vald;3903;Kärgula küla;;;;;;;;;;;879173903000000000000000000000000;3221081;6423789;659582;57,92682;26,69389;"57°55'36.55""";"26°41'38.01"""
2236367;Viktoria tee Tahkuna Hiiu vald Hiiumaa;"Hiiu maakond, Hiiumaa vald, Tahkuna küla, Viktoria tee 11";3;39;Hiiu maakond;205;Hiiumaa vald;8067;Tahkuna küla;;;0B4M;Viktoria tee;;;2VHW;11;;;39205806700000B4M00002VHW00000000;2927267;6547815;419615;59,06158;22,59873;"59°3'41.70""";"22°35'55.44"""
2236373;Visusti Visusti Palamuse vald Jõgevamaa;"Jõgeva maakond, Jõgeva vald, Visusti küla, Visusti kuivati";3;50;Jõgeva maakond;247;Jõgeva vald;9431;Visusti küla;;;;;8GVT;Visusti kuivati;;;;;502479431000000008GVT000000000000;3344169;6501535;645578;58,6292;26,50674;"58°37'45.13""";"26°30'24.27"""
2236380;Liiva Nõo Nõo vald Tartumaa;"Tartu maakond, Nõo vald, Nõo alevik, Liiva tn 1";3;79;Tartu maakond;528;Nõo vald;5534;Nõo alevik;;;06SM;Liiva tn;;;2G1D;1;;;795285534000006SM00002G1D00000000;3307931;6461840;648728;58,272;26,53511;"58°16'19.19""";"26°32'6.40"""
2236458;Ööbiku Lääniste Võnnu vald Tartumaa;"Tartu maakond, Kastre vald, Lääniste küla, Ööbiku";3;79;Tartu maakond;291;Kastre vald;4658;Lääniste küla;;;;;63I9;Ööbiku;;;;;7929146580000000063I9000000000000;3215426;6464809;684337;58,2851;27,14364;"58°17'6.36""";"27°8'37.12"""
2236459;Haava Napi Misso vald Võrumaa;"Võru maakond, Setomaa vald, Napi küla, Haava";3;87;Võru maakond;732;Setomaa vald;5354;Napi küla;;;;;5DUT;Haava;;;;;877325354000000005DUT000000000000;3346271;6393158;699389;57,63601;27,33915;"57°38'9.64""";"27°20'20.92"""
2236463;Võnnu Võnnu Võnnu vald Tartumaa;"Tartu maakond, Kastre vald, Võnnu alevik";1;79;Tartu maakond;291;Kastre vald;9570;Võnnu alevik;;;;;;;;;;;792919570000000000000000000000000;3158340;6464834;678429;58,28777;27,04305;"58°17'15.97""";"27°2'34.98"""
