Aadress	ID
Lodjapuu tee 65 Pirita Tallinn Harjumaa	2042917
Pärnu mnt 235A Nõmme Tallinn Harjumaa	2042918
Rohula 7 Nõmme Tallinn Harjumaa	2042919
Köömne 24 Haabersti Tallinn Harjumaa	2042982
Õie põik 1 Nõmme Tallinn Harjumaa	2042999
Aasa tee 8 Püünsi Viimsi vald Harjumaa	2043008
Jaama Illuka vald Ida-Virumaa	2043044
Väike-Pungerja Mäetaguse vald Ida-Virumaa	2043045
Nurmsi Paide vald Järvamaa	2043046
Rassi Türi vald Järvamaa	2043047
Eisma Vihula vald Lääne-Virumaa	2043049
Muna Nüpli Otepää vald Valgamaa	2043055
Pärna 3 Otepää Otepää vald Valgamaa	2043069
Riia mnt. 89 Viljandi Viljandimaa	2043080
Narva-Jõesuu Ida-Virumaa	2043085
Kiriku 35 Kallaste Tartumaa	2043086
Kesk 1 Tamsalu Tamsalu vald Lääne-Virumaa	2043097
Ringtee Tõrvandi Ülenurme vald Tartumaa	2043104
Susi tee Järveküla Rae vald Harjumaa	2043140
Räägujõe Kurena Are vald Pärnumaa	2043142
Hiie põik 2/1 Pirita Tallinn Harjumaa	2043165
Hommiku 9 Keila Harjumaa	2043166
Hälli põik 14A Haabersti Tallinn Harjumaa	2043167
Oravasaba tee 43 Maardu Harjumaa	2043201
Pärnu mnt 426 Nõmme Tallinn Harjumaa	2043206
Roosipõõsa tee 7 Rae vald Harjumaa	2043222
Metsaveere tee 12 Pringi Viimsi vald Harjumaa	2043225
Kalda 1 Helmküla Varbla vald Pärnumaa	2043264
Tähe 4 Elva Tartumaa	2043282
Toominga 4 Paikuse Paikuse vald Pärnumaa	2043289
Künka Uulu Tahkuranna vald Pärnumaa	2043291
 Luuri Vändra vald Pärnumaa	2043292
Võru Ropka Tartu Tartumaa	2043297
Võnnu 5 Haapsalu Haapsalu Läänemaa	2043308
Võidu 22 Orissaare Orissaare vald Saaremaa	2043314
 Tusti Muhu vald Saaremaa	2043316
Indu Rabavere Koonga vald Pärnumaa	2043323
Kurina 26 Randivälja Tori vald Pärnumaa	2043324
Liisa Uulu Tahkuranna vald Pärnumaa	2043325
Kooli 43 Pärnu Pärnumaa	2043331
Ute Lemmatsi Ülenurme vald Tartumaa	2043369
Tuulepesa tee 3 Ilmandu Harku vald Harjumaa	2043388
Tuulepesa tee 3 Ilmandu Harku vald Harjumaa	2043389
Vana-Pääla 1 Suurupi Harku vald Harjumaa	2043391
Lemmiku 13 Nõmme Tallinn Harjumaa	2043392
Kotlepi 24 Haabersti Tallinn Harjumaa	2043393
Kurekannuse tee 8 Randvere Viimsi vald Harjumaa	2043399
Lahe tee 3 Laheküla Lääne-Saare vald Saaremaa	2043411
Käopesa tee  Kasemetsa Saku vald Harjumaa	2043428
Laulasmaa Keila vald Harjumaa	2043436
Koidu 2a Jõhvi Jõhvi Jõhvi vald Ida-Virumaa	2043440
Võru Kambja Kambja vald Tartumaa	2043451
Jõekalda 45 Silla Paikuse vald Pärnumaa	2043483
Vaba Karlova Tartu Tartumaa	2043539
Noonu Välja Noonu Vihula vald Lääne-Virumaa	2043571
Väike-kure Kurepalu Haaslava vald Tartumaa	2043574
Lillevälja tee Veibri Luunja vald Tartumaa	2043575
Välgita Välgita Viljandi vald Viljandimaa	2043584
Kõrgepõllu tee Vana-Võidu Viljandi vald Viljandimaa	2043585
Kõrgepõllu tee Vana-Võidu Viljandi vald Viljandimaa	2043586
Vahe Viljandi Viljandimaa	2043592
Jakobsoni Viljandi Viljandimaa	2043604
Mere tee Ranniku talu Neeme Jõelähtme vald Harjumaa	2043623
Põhjatamme Ihaste Tartu Tartumaa	2043638
Talu tee 7 Tõrvandi Ülenurme vald Tartumaa	2043641
Kurge Läste Tapa vald Lääne-Virumaa	2043643
Hälli põik 10 Haabersti Tallinn Harjumaa	2043648
Vana-Keila mnt x Saue Harjumaa	2043650
Sauga vald Eametsa küla Võilille tee 5 Pärnu Pärnumaa	2043678
Kesklinn Pärnu Pärnumaa	2043679
Tammiste Nõlva põik 2-2 Pärnu Pärnumaa	2043680
Niidu Sindi Pärnumaa	2043682
  Reiu Tahkuranna vald Pärnumaa	2043683
Tõnu Treimani Häädemeeste vald Pärnumaa	2043685
Hoo tee 2 Suurupi Harku vald Harjumaa	2043721
 Kaasiku Tammispea Kuusalu vald Harjumaa	2043759
Rahu 7 Nõmme Tallinn Harjumaa	2043809
Spordi 21 Keila Harjumaa	2043815
Alliksaare tee Äigrumäe Viimsi vald Harjumaa	2043831
Sireli Laulasmaa Keila vald Harjumaa	2043833
 Maardu Harjumaa	2043839
Kurekella Laulasmaa Keila vald Harjumaa	2043842
Sõpruse tn Tiheda Kasepää vald Jõgevamaa	2043867
Püssi Pärnu Pärnumaa	2043884
Uus-Preeria Kasemetsa Saku vald Harjumaa	2043892
Põldheina 6 Muuga Viimsi vald Harjumaa	2043897
. Uulu Tahkuranna vald Pärnumaa	2043913
Laadi tee 18 Uulu Tahkuranna vald Pärnumaa	2043914
Viira tee Reiu Tahkuranna vald Pärnumaa	2043915
' Krundiküla Häädemeeste vald Pärnumaa	2043916
. Ilvese Surju vald Pärnumaa	2043917
Teeääre Uulu Tahkuranna vald Pärnumaa	2043920
Hõbemäe talu Saagri Misso vald Võrumaa	2043925
Välja Tõrva Valgamaa	2043936
Välja Tõrva Valgamaa	2043937
Soodla küla Soodla Anija vald Harjumaa	2043942
Türna Pajualuse Jõhvi vald Ida-Virumaa	2043971
Kihlevere Kihlevere Kadrina vald Lääne-Virumaa	2043975
Kooli tee 21 Antsla Antsla vald Võrumaa	2043984
Aia Puiatu Viljandi vald Viljandimaa	2043988
Siilu Kasemetsa Saku vald Harjumaa	2043995
Koruste Rõngu vald Tartumaa	2044017
Väljaku 5A Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2044019
Pikasilla Põdrala vald Valgamaa	2044078
Pikasilla Põdrala vald Valgamaa	2044080
Jalaka 10 Sindi Pärnumaa	2044092
Saare 4 Hüüru Saue vald Harjumaa	2044119
Endla 29 Laulasmaa Keila vald Harjumaa	2044124
Kanarbiku Kelvingi Viimsi vald Harjumaa	2044137
Tuka Muusika Kernu vald Harjumaa	2044146
Raadiojaama tee 24 Ülejõe Rae vald Harjumaa	2044148
Liiva põik Lagedi Rae vald Harjumaa	2044157
Sambla 3 Nõmme Tallinn Harjumaa	2044161
Tuuliku tee 2 Vaida Rae vald Harjumaa	2044169
Päikese pst 15 Nõmme Tallinn Harjumaa	2044182
Tooma tee 18 Männiku Saku vald Harjumaa	2044203
Valentini Tuulevälja Rae vald Harjumaa	2044207
Aruküla tee 4 Jüri Rae vald Harjumaa	2044210
Roolahe 13 Haabersti Tallinn Harjumaa	2044215
Rauna põik 1 Saue Harjumaa	2044219
Delfiin 77 Kiisa Saku vald Harjumaa	2044233
Karutiigi Alliku Saue vald Harjumaa	2044239
Halla 32 Haabersti Tallinn Harjumaa	2044242
Kandle 9A Nõmme Tallinn Harjumaa	2044254
Sputniku 19 Lelle Kehtna vald Raplamaa	2044283
Mereääre 4 Muraste Harku vald Harjumaa	2044286
Niidi 30 Põhja-Tallinn Tallinn Harjumaa	2044304
Hiiu-Maleva 44 Nõmme Tallinn Harjumaa	2044307
 Hara Noarootsi vald Läänemaa	2044330
Krõlli Laulasmaa Keila vald Harjumaa	2044352
Köömne 24 Haabersti Tallinn Harjumaa	2044368
Talve tee 22 Aruküla Raasiku vald Harjumaa	2044371
Krõlli väikekoht 22 Laulasmaa Keila vald Harjumaa	2044386
Sepamäe talu Pillapalu Anija vald Harjumaa	2044389
Pärgma tee 12 Türisalu Harku vald Harjumaa	2044397
Pikaaru Munalaskme Nissi vald Harjumaa	2044398
Õie põik 1 Nõmme Tallinn Harjumaa	2044415
Paate Kukruse Kohtla-Järve Ida-Virumaa	2044453
Nurmela tee Haabneeme Viimsi vald Harjumaa	2044455
Kirsi 1 Viljandi Viljandimaa	2044473
Kopli 5 Viljandi Viljandimaa	2044479
Asula Sõmeru Kose vald Harjumaa	2044488
Pae 13 Jõhvi Jõhvi vald Ida-Virumaa	2044491
Kirna mõis Kirna Türi vald Järvamaa	2044503
Jaani Rehemäe Nissi vald Harjumaa	2044508
Kirna mõis Kirna Türi vald Järvamaa	2044510
Välja Tõrva Valgamaa	2044514
Tallinna mnt. 17 Virtsu Hanila vald Läänemaa	2044527
Kanarbiku 1 Paralepa Ridala vald Läänemaa	2044533
Kase 23 Valga Valgamaa	2044550
Kase 23 Valga Valgamaa	2044551
Männiku tee 25 Nõmme Tallinn Harjumaa	2044552
Männiku tee 25 Nõmme Tallinn Harjumaa	2044556
Kose Jõhvi vald Ida-Virumaa	2044564
Toominga Jaamaküla Surju vald Pärnumaa	2044577
Valga mnt. Tihemetsa Saarde vald Pärnumaa	2044588
Valga mnt. Tihemetsa Saarde vald Pärnumaa	2044589
Vahtra Rakvere Lääne-Virumaa	2044596
Vahtra Rakvere Lääne-Virumaa	2044604
Võsa Rapla Rapla vald Raplamaa	2044606
Võsa Rapla Rapla vald Raplamaa	2044619
Nurme tee 1 Harku Harku vald Harjumaa	2044688
Nurme tee 1 Harku Harku vald Harjumaa	2044689
Jõekääru Saunja Lääne-Nigula vald Läänemaa	2044708
Karja 1 Viskla Kose vald Harjumaa	2044715
Lootuse 18 Karlova Tartu Tartumaa	2044738
Välja Haabersti Tallinn Harjumaa	2044748
Koidula Türi Türi vald Järvamaa	2044769
Jaani-Mursi talu Tänassilma Viljandi vald Viljandimaa	2044793
Uueveski tee Viljandi Viljandimaa	2044802
Rägavere vald Lääne-Virumaa	2044808
Niidu Võhma Viljandimaa	2044818
Põllu Paide Järvamaa	2044823
Metsavahi . Orgita Märjamaa vald Raplamaa	2044828
Metsavahi . Orgita Märjamaa vald Raplamaa	2044842
