ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta
2117757	145000	5	134	Valmis	2006	Aali tee 24 Kostivere Jõelähtme vald Harjumaa	2013
2117758	167000	5	192	Valmis	2005	Seedri tn Jüri Rae vald Harjumaa	2013
2117761	156000	4	258.5	NA	2008	Paia Tuulna Keila vald Harjumaa	2013
2117767	639999	10	300	Vajab renoveerimist	1960	Kõruse Kordoni Kõruse Kihelkonna vald Saaremaa	2013
2117782	349000	5	210	Uus	2011	Mõtuse 20 Kristiine Tallinn Harjumaa	2013
2117788	13000	2	47.3	NA	1910	Jaama 3 Paide Järvamaa	2013
2117793	115000	5	236.8	Valmis	1992	Kanarbiku 1 Paralepa Ridala vald Läänemaa	2013
2117796	38000	NA	100	NA	2010	Kuljuse tee Nõmme Ridala vald Läänemaa	2013
2117797	1e+05	4	323	Valmis	1980	Sõpruse 95 Kasepää Kasepää vald Jõgevamaa	2013
2117798	119000	5	152.4	NA	2007	Jugapuu tee 25 Randvere Viimsi vald Harjumaa	2013
2117799	99000	4	126	NA	2010	Tulbi tn Raasiku Raasiku vald Harjumaa	2013
2117807	7000	3	48.9	Valmis	1996	 Konna 189 Vaivara Vaivara vald Ida-Virumaa	2013
2117813	94000	5	174.1	Valmis	2004	Kuusiku . Kohila Kohila vald Raplamaa	2013
2117814	19500	3	90	NA	1950	Mõisavahe 3 Koigi Koigi vald Järvamaa	2013
2117817	16500	NA	1013.9	NA	1986	Tuule tn 3 Vändra Vändra vald (alev) Pärnumaa	2013
2117820	120159	8	284.4	Valmis	2001	Jaani Rehemäe Nissi vald Harjumaa	2013
2117827	78000	4	160	Renoveeritud	1992	Metsa 9 Mustvee Jõgevamaa	2013
2117829	60000	5	251.9	Valmis	1996	Ristiku 4a Jõhvi Jõhvi vald Ida-Virumaa	2013
2117863	103000	3	110	Renoveeritud	2005	Tammermaa tee 2 Keila Harjumaa	2013
2117884	165000	5	231	Uus	2007	Kadaka tee 1 Aardlapalu Haaslava vald Tartumaa	2013
2117887	135000	3	162.8	Valmis	1973	Tammetõru Saue Harjumaa	2013
2117908	17000	4	150	Vajab renoveerimist	1974	Matsi kinnistu Mõtsu Varbla vald Pärnumaa	2013
2117909	250000	5	159	Valmis	2002	Atleedi tee Karla Rae vald Harjumaa	2013
2117913	349000	5	210	Uus	2013	Mõtuse 20 Kristiine Tallinn Harjumaa	2013
2117916	114000	4	137	Uus	2006	Ristiku tee 3 Tammiste Sauga vald Pärnumaa	2013
2117919	209000	8	285.8	Valmis	1999	Karikakra tee 27 Püünsi Viimsi vald Harjumaa	2013
2117924	36000	3	127	Vajab san. remonti	1985	Ööbiku maja . Vana-Kaiu Kaiu vald Raplamaa	2013
2117927	7500	5	123.2	NA	1920	Väinjärve tee 12 Koeru Koeru vald Järvamaa	2013
2117930	130000	3	143.7	Valmis	1987	Tamme tee 2 Pringi Viimsi vald Harjumaa	2013
2117932	48000	5	148.9	Vajab renoveerimist	1912	Kärpla Kärpla Kehtna vald Raplamaa	2013
2117943	80000	4	155.1	Uus	2006	Takja tn Tammiste Sauga vald Pärnumaa	2013
2117946	34000	NA	133.9	Vajab renoveerimist	1938	Posti 12a Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2013
2117965	103000	3	110	Renoveeritud	2005	Tammermaa tee 2 Keila Harjumaa	2013
2117980	153600	4	138	Uus	2006	Kalju tee 3 Sausti Kiili vald Harjumaa	2013
2117983	28900	4	150	Uus	2008	Pihlaka 6 Laitse Uus Hind Kaasiku Kernu vald Harjumaa	2013
2117995	240000	4	126.5	Uus	2009	Suur-Pinuse Lahetaguse Salme vald Saaremaa	2013
2117996	320000	4	126.5	Uus	2009	Saaremaa Lahetaguse Salme vald Saaremaa	2013
2118008	139000	4	135.1	Uus	2012	Siimu tee Laadi Tahkuranna vald Pärnumaa	2013
2118010	39900	4	75.2	Valmis	1986	Sireli Laulasmaa Keila vald Harjumaa	2013
2118011	39900	4	75.2	Valmis	1986	Sireli Laulasmaa Keila vald Harjumaa	2013
2118064	258000	5	205.8	Uus	2004	Käära tee 27 Laiaküla Viimsi vald Harjumaa	2013
2118101	127820	4	95	Renoveeritud	2004	Kassikäppa tee Vääna-Jõesuu Harku vald Harjumaa	2013
2118103	39900	3	90	Valmis	1923	Mihkli Sagadi Vihula vald Lääne-Virumaa	2013
2118132	65000	5	227.7	Renoveeritud	1995	Tirbiku Kadrina vald Lääne-Virumaa	2013
2118139	180000	5	140	Keskmine	1970	Vana-Tartu mnt 5 Kesklinn Tallinn Harjumaa	2013
2118154	175000	5	192.5	Vajab renoveerimist	1963	Jaaniku Pirita Tallinn Harjumaa	2013
2118159	158000	5	170	Valmis	2005	Huulheina tee 60 Maardu Harjumaa	2013
2118162	158000	5	170	Valmis	2005	Huulheina tee 60 Muuga Viimsi vald Harjumaa	2013
2118170	36000	3	108.4	Vajab renoveerimist	1964	Ristiku tn 5a Elva Tartumaa	2013
2118174	66950	5	221.8	Valmis	1989	Vana-Kaiu küla Vana-Kaiu Kaiu vald Raplamaa	2013
2118175	55000	4	160	Vajab renoveerimist	1950	Väikse-Liivakse Kulli Hummuli vald Valgamaa	2013
2118202	1e+05	4	110	Uus	2006	Rüütli tee 17 Kirumpää Võru vald Võrumaa	2013
2118217	125000	5	191	Vajab renoveerimist	1990	Ränikivi 6 Tammelinn Tartu Tartumaa	2013
2118226	28000	4	96	Valmis	1930	Ünnaste küla Ergarra Vändra vald Pärnumaa	2013
2118241	64400	7	104	Renoveeritud	1977	Kooli 12 Kärla Lääne-Saare vald Saaremaa	2013
2118261	26000	3	60.9	NA	1921	Pärnu 6 Kilingi-Nõmme Kilingi-Nõmme Saarde vald Pärnumaa	2013
2118272	18900	3	167	Vajab renoveerimist	1930	Põhjaka Suure-Jaani vald Viljandimaa	2013
2118291	350000	NA	176	Uus	2013	Jõeääre Langa Padise vald Harjumaa	2013
2118293	23000	3	55	Uus	1932	Lillesaare Paju Rannu vald Tartumaa	2013
2118305	249000	6	312	NA	1994	 Kaasiku Tammispea Kuusalu vald Harjumaa	2013
2118346	250000	NA	351	Vajab renoveerimist	1967	Lepiku tee 63 Pirita Tallinn Harjumaa	2013
2118393	220400	5	150	Uus	2006	Spordi 21 Keila Harjumaa	2013
