ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta	Maakond
2014865	49000	5	217	NA	1984	Karja Mustla Tarvastu vald Viljandimaa	2013	Viljandimaa
2015333	159450	6	240	Uus	2010	Ute tee 8 Lemmatsi Ülenurme vald Tartumaa	2013	Tartumaa
2015702	22000	3	70	Keskmine	1940	Ruudiküla Vasara Viljandi vald Viljandimaa	2013	Viljandimaa
2017248	165000	6	187.5	NA	2004	Nõmmeliiva Ihaste Tartu Tartumaa	2013	Tartumaa
2019579	15000	2	NA	Vajab renoveerimist	1926	Paslepa Noarootsi vald Läänemaa	2013	Läänemaa
2019590	28000	3	97	Vajab san. remonti	1950	Meeksi Meeksi vald Tartumaa	2013	Tartumaa
2019602	7500	NA	NA	NA	2003	Ehitaja tee Navi Võru vald Võrumaa	2013	Võrumaa
2036392	45000	6	751	Keskmine	1958	uus tn Paide Järvamaa	2013	Järvamaa
2041845	14000	2	NA	Vajab renoveerimist	1952	Suislepa Tarvastu vald Viljandimaa	2013	Viljandimaa
2042327	149000	5	NA	NA	1968	Rebase 4 Kesklinn Tartu Tartumaa	2013	Tartumaa
2042328	173000	NA	360	Renoveeritud	1905	J.Kärneri 6 Elva Tartumaa	2013	Tartumaa
2042346	38000	3	72.7	Valmis	1961	Pärnu - Paide mnt. 7 Vändra Vändra vald (alev) Pärnumaa	2013	Pärnumaa
2042347	55000	5	187.6	Valmis	1981	Jakobsoni 15 Vändra Vändra vald (alev) Pärnumaa	2013	Pärnumaa
2042369	25000	3	77	Valmis	1930	Pihlakavälja * Kalvi Aseri vald Ida-Virumaa	2013	Ida-Virumaa
2042374	27000	5	104	Valmis	1925	Marguse Vasta Viru-Nigula vald Lääne-Virumaa	2013	Lääne-Virumaa
2042408	34000	5	307	Valmis	1919	Kehala Vinni vald Lääne-Virumaa	2013	Lääne-Virumaa
2042435	55900	5	90	NA	1930	Kirepi Kirepi Rõngu vald Tartumaa	2013	Tartumaa
2042444	136900	5	164	Uus	2009	Lauri tee Viljandi Viljandimaa	2013	Viljandimaa
2042445	44800	NA	29	NA	2008	 Hara Noarootsi vald Läänemaa	2013	Läänemaa
2042446	105000	5	223.2	Valmis	1997	Aiandi tn Haapsalu Läänemaa	2013	Läänemaa
2042465	50500	3	100	NA	1910	Hurmi Hurmi Kanepi vald Põlvamaa	2013	Põlvamaa
2042469	102000	3	227	NA	1971	Kesa 5 Põlva Põlva vald Põlvamaa	2013	Põlvamaa
2042471	1e+05	5	179	NA	1974	Lauliku 16 Vahetuse võimalus korter+komp Elva Tartumaa	2013	Tartumaa
2042474	68000	7	1076	NA	1850	Moonakatemaja Uus hind Toolamaa Räpina vald Põlvamaa	2013	Põlvamaa
2042476	99000	3	100	NA	1955	Palupera tee 10 Otepää Otepää vald Valgamaa	2013	Valgamaa
2042484	16500	2	66	NA	1941	Siila Jaanimõisa Mooste vald Põlvamaa	2013	Põlvamaa
2042523	99999	6	216	NA	2006	Tammiste Sauga vald Pärnumaa	2013	Pärnumaa
2042524	147244	4	130	Uus	2006	Tammiste Sauga vald Pärnumaa	2013	Pärnumaa
2042528	53686	2	NA	Vajab renoveerimist	1983	 3 Sauga vald Pärnumaa	2013	Pärnumaa
2042530	53190	5	77	NA	1960	Kihlepa Audru vald Pärnumaa	2013	Pärnumaa
2042537	111782	6	134.1	NA	2007	 12 Reiu Tahkuranna vald Pärnumaa	2013	Pärnumaa
2042540	127504	7	250	Renoveeritud	1936	Aesoo Tori vald Pärnumaa	2013	Pärnumaa
2042542	121433	4	146	NA	1996	 Reiu Tahkuranna vald Pärnumaa	2013	Pärnumaa
2042586	41000	5	160	NA	2007	Tiigi 35 Audru Audru vald Pärnumaa	2013	Pärnumaa
2042587	235000	6	260	Uus	2006	Käärasoo 8 Paikuse Paikuse vald Pärnumaa	2013	Pärnumaa
2042598	69000	6	415	NA	1991	Kuuse 1 Kadapiku Kadrina vald Lääne-Virumaa	2013	Lääne-Virumaa
2042600	9999	5	89.6	Vajab renoveerimist	1939	Nadalama Väike-Maarja vald Lääne-Virumaa	2013	Lääne-Virumaa
2042602	67000	3	93.6	Valmis	1813	 Liu Audru vald Pärnumaa	2013	Pärnumaa
2042607	147000	4	133.6	Valmis	2005	Vintri Ulliste Vintri Salme vald Saaremaa	2013	Saaremaa
2042608	41000	3	125	Valmis	1956	Tiigi Väljaküla Alatskivi vald Tartumaa	2013	Tartumaa
2042610	76693.98	5	200	Uus	2008	Puraviku 4 Laane Ülenurme vald Tartumaa	2013	Tartumaa
2042620	17260	3	61	Valmis	1930	Kullikopli talu Hirmuküla Karksi vald Viljandimaa	2013	Viljandimaa
2042632	98425	4	150.8	Valmis	1971	valuoja pst Viljandi Viljandimaa	2013	Viljandimaa
2042655	88000	4	83	Valmis	1948	Vilde tn 18 Rakvere Lääne-Virumaa	2013	Lääne-Virumaa
2042664	6900	4	107.7	Valmis	1939	Rohu tn Kiviõli Ida-Virumaa	2013	Ida-Virumaa
2042701	130000	5	236.8	Valmis	1992	Kanarbiku 1 Paralepa Ridala vald Läänemaa	2013	Läänemaa
2042727	10600	2	57.3	Vajab renoveerimist	1960	Pärnjõe Vändra vald Pärnumaa	2013	Pärnumaa
2042776	38000	3	72.7	Valmis	1961	Pärnu - Paide mnt. 7 Vändra Vändra vald (alev) Pärnumaa	2013	Pärnumaa
2042777	134000	4	180	Valmis	1980	 Oara Audru vald Pärnumaa	2013	Pärnumaa
2042778	95000	5	216	Vajab renoveerimist	1890	 Päigiste Halliste vald Viljandimaa	2013	Viljandimaa
2042800	90000	5	181.2	Renoveeritud	1999	Lepa Haapsalu Läänemaa	2013	Läänemaa
2042838	55000	2	60	Valmis	1935	Peetri Pärnu Pärnumaa	2013	Pärnumaa
2042842	128500	NA	74	Vajab renoveerimist	1790	Roosi Pärnu Pärnumaa	2013	Pärnumaa
2042846	72000	5	116	Valmis	1926	Jaama Pärnu Pärnumaa	2013	Pärnumaa
2043044	57000	2	110	NA	2008	Jaama Illuka vald Ida-Virumaa	2013	Ida-Virumaa
2043045	16950	2	70	Valmis	1973	Väike-Pungerja Mäetaguse vald Ida-Virumaa	2013	Ida-Virumaa
2043046	35000	3	146.6	Valmis	1941	Nurmsi Paide vald Järvamaa	2013	Järvamaa
2043047	25000	3	138.5	Valmis	1865	Rassi Türi vald Järvamaa	2013	Järvamaa
2043049	197486.99	2	241.1	Valmis	1942	Eisma Vihula vald Lääne-Virumaa	2013	Lääne-Virumaa
2043055	53050	2	96	Valmis	1997	Muna Nüpli Otepää vald Valgamaa	2013	Valgamaa
2043069	27482	3	108.2	Vajab renoveerimist	1868	Pärna 3 Otepää Otepää vald Valgamaa	2013	Valgamaa
2043080	145000	6	324.5	Valmis	1990	Riia mnt. 89 Viljandi Viljandimaa	2013	Viljandimaa
2043085	169000	6	130	Uus	2010	Narva-Jõesuu Ida-Virumaa	2013	Ida-Virumaa
2043086	32000	3	61.3	Vajab renoveerimist	1983	Kiriku 35 Kallaste Tartumaa	2013	Tartumaa
2043097	58800	NA	446	NA	1939	Kesk 1 Tamsalu Tamsalu vald Lääne-Virumaa	2013	Lääne-Virumaa
2043104	140000	5	145.1	Renoveeritud	1988	Ringtee Tõrvandi Ülenurme vald Tartumaa	2013	Tartumaa
2043142	39000	NA	120	NA	2012	Räägujõe Kurena Are vald Pärnumaa	2013	Pärnumaa
2043264	22000	3	63	Valmis	1963	Kalda 1 Helmküla Varbla vald Pärnumaa	2013	Pärnumaa
2043282	88900	6	NA	Keskmine	1960	Tähe 4 Elva Tartumaa	2013	Tartumaa
2043289	125000	5	181	Uus	2005	Toominga 4 Paikuse Paikuse vald Pärnumaa	2013	Pärnumaa
2043291	25900	4	113.4	NA	2006	Künka Uulu Tahkuranna vald Pärnumaa	2013	Pärnumaa
2043292	27000	3	100	Valmis	1942	 Luuri Vändra vald Pärnumaa	2013	Pärnumaa
2043297	139000	6	250	San. remont tehtud	1989	Võru Ropka Tartu Tartumaa	2013	Tartumaa
2043308	155000	6	189.5	Renoveeritud	1934	Võnnu 5 Haapsalu Haapsalu Läänemaa	2013	Läänemaa
2043314	29990	3	124	NA	1930	Võidu 22 Orissaare Orissaare vald Saaremaa	2013	Saaremaa
2043316	255000	5	350	Uus	2009	 Tusti Muhu vald Saaremaa	2013	Saaremaa
2043323	15900	3	245	Vajab renoveerimist	1918	Indu Rabavere Koonga vald Pärnumaa	2013	Pärnumaa
2043324	89500	4	135.6	Uus	2008	Kurina 26 Randivälja Tori vald Pärnumaa	2013	Pärnumaa
2043325	69000	5	287.2	Valmis	1987	Liisa Uulu Tahkuranna vald Pärnumaa	2013	Pärnumaa
2043331	145000	8	200.4	Renoveeritud	1905	Kooli 43 Pärnu Pärnumaa	2013	Pärnumaa
2043369	175000	6	240	Uus	2010	Ute Lemmatsi Ülenurme vald Tartumaa	2013	Tartumaa
2043411	64000	2	46.2	Renoveeritud	1985	Lahe tee 3 Laheküla Lääne-Saare vald Saaremaa	2013	Saaremaa
2043440	39990	4	NA	Vajab renoveerimist	1937	Koidu 2a Jõhvi Jõhvi Jõhvi vald Ida-Virumaa	2013	Ida-Virumaa
2043451	185000	6	1602	Renoveeritud	1770	Võru Kambja Kambja vald Tartumaa	2013	Tartumaa
2043483	185000	4	136.4	Valmis	1999	Jõekalda 45 Silla Paikuse vald Pärnumaa	2013	Pärnumaa
