ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress.x	Aasta	Maakond	Täisaadress	Objekti.liik	Tase1.kood	Tase1.nimetus	Tase2.kood	Tase2.nimetus	Tase3.kood	Tase3.nimetus	Tase4.kood	Tase4.nimetus	Tase5.kood	Tase5.nimetus	Tase6.kood	Tase6.nimetus	Tase7.kood	Tase7.nimetus	Tase8.kood	Tase8.nimetus	Koodaadress	ADR.ID	L.Est.X	L.Est.Y	N	E	N..dms.	E..dms.
2204461	65000	3	100	Renoveeritud	1975	Võnnu 21 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Võnnu tn 21	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0SA8	Võnnu tn			B3AW	21			81855891800000SA80000B3AW00000000	3009935	6404872	622650	57,76883	26,06109	57°46'7.79"	26°3'39.92"
2204462	70000	4	85	Renoveeritud	1974	Kevade 3 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Kevade tn 3	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0SCT	Kevade tn			B2UM	3			81855891800000SCT0000B2UM00000000	3009035	6404632	623018	57,76657	26,06715	57°45'59.67"	26°4'1.73"
2204463	5496	6	107.1	Valmis	1901	Raudteeääre Väheru Karula vald Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Väheru küla, Karu	3	81	Valga maakond	855	Valga vald	9618	Väheru küla					ETSK	Karu					81855961800000000ETSK000000000000	2975429	6408822	637424	57,79995	26,31146	57°47'59.83"	26°18'41.27"
2204469	30000	6	155.2	Valmis	1981	Odra 1 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Odra tn 1	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0S5J	Odra tn			B2A0	1			81855891800000S5J0000B2A000000000	3008048	6406630	620744	57,78513	26,02997	57°47'6.46"	26°1'47.91"
2204470	37069	NA	240.1	Valmis	1910	E.Enno 8 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, E. Enno tn 8	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0SF4	E. Enno tn			B29Y	8			81855891800000SF40000B29Y00000000	3008046	6405637	621711	57,77595	26,04571	57°46'33.43"	26°2'44.56"
2204471	26843	7	108.6	Vajab renoveerimist	1918	Viljandi 6 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Viljandi tn 6	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0SBN	Viljandi tn			B1WW	6			81855891800000SBN0000B1WW00000000	3007294	6406243	620696	57,78167	26,02897	57°46'54.01"	26°1'44.29"
2204472	237000	6	480	Valmis	2002	Leiva 2 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Leiva tn 3	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0S8V	Leiva tn			B5HQ	3			81855891800000S8V0000B5HQ00000000	3016329	6404762	623111	57,76772	26,06878	57°46'3.78"	26°4'7.59"
2204473	99063	4	115.8	Valmis	1950	Lõuna 18 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Lõuna tn 18	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0SFH	Lõuna tn			B1G7	18			81855891800000SFH0000B1G700000000	3006537	6405259	623140	57,77217	26,06952	57°46'19.80"	26°4'10.27"
2204476	21410	3	67	Valmis	1950	Raudtee 10 Tsirguliina Tõlliste vald Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Tsirguliina alevik, Raudtee tn 10	3	81	Valga maakond	855	Valga vald	8365	Tsirguliina alevik			078I	Raudtee tn			0YLY	10			8185583650000078I00000YLY00000000	2981922	6415657	630488	57,86338	26,19865	57°51'48.16"	26°11'55.15"
2204477	12700	5	105	Vajab renoveerimist	1922	Veski 30 Antsla Antsla vald Võrumaa	2013	Võrumaa	Võru maakond, Antsla vald, Antsla linn, Veski tn 30	3	87	Võru maakond	142	Antsla vald	1301	Antsla linn			05VM	Veski tn			1FFG	30			871421301000005VM00001FFG00000000	3276437	6413361	650236	57,83653	26,52964	57°50'11.50"	26°31'46.71"
2204479	69500	3	100	Valmis	2007	Raadiku Reiu Tahkuranna vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Häädemeeste vald, Reiu küla, Raadiku	3	68	Pärnu maakond	214	Häädemeeste vald	6925	Reiu küla					E9L7	Raadiku					68214692500000000E9L7000000000000	2936860	6461380	535171	58,29169	24,5997	58°17'30.09"	24°35'58.92"
2204535	15500	3	159	Vajab renoveerimist	1895	Aruoja Marina Saarde vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Saarde vald, Marina küla, Aruoja	3	68	Pärnu maakond	712	Saarde vald	4787	Marina küla					0G1P	Aruoja					687124787000000000G1P000000000000	2934585	6439603	545373	58,09524	24,76938	58°5'42.87"	24°46'9.77"
2204547	33600	4	80	Valmis	2003	Suve 40 Sindi Pärnumaa	2013	Pärnumaa	Pärnu maakond, Tori vald, Sindi linn, Suve tn 40	3	68	Pärnu maakond	809	Tori vald	7607	Sindi linn			0TGV	Suve tn			BU0R	40			68809760700000TGV0000BU0R00000000	3400717	6474002	538948	58,40469	24,66623	58°24'16.89"	24°39'58.44"
2204577	89900	5	216	Vajab renoveerimist	1890	 Päigiste Halliste vald Viljandimaa	2013	Viljandimaa	Viljandi maakond, Mulgi vald, Päigiste küla	1	84	Viljandi maakond	480	Mulgi vald	6575	Päigiste küla											844806575000000000000000000000000	3221449	6446063	580196	58,14827	25,36196	58°8'53.77"	25°21'43.07"
2204580	45000	3	60	Vajab san. remonti	1997	Väikesaare 2 Narva Ida-Virumaa	2013	Ida-Virumaa	Ida-Viru maakond, Narva linn, Väikesaare tn 2	3	45	Ida-Viru maakond	511	Narva linn					0JY1	Väikesaare tn			7U9E	2			45511000000000JY100007U9E00000000	2850253	6591778	737840	59,39708	28,18909	59°23'49.49"	28°11'20.73"
2204592	159000	5	230	Uus	2009	Metsalaane Elva Tartumaa	2013	Tartumaa	Tartu maakond, Elva vald, Metsalaane küla	1	79	Tartu maakond	171	Elva vald	4895	Metsalaane küla											791714895000000000000000000000000	2974778	6459101	640673	58,25008	26,39626	58°15'0.28"	26°23'46.55"
2204702	145000	8	200.4	Renoveeritud	1905	Kooli 43 Pärnu Pärnumaa	2013	Pärnumaa	Pärnu maakond, Pärnu linn, Pärnu linn, Kooli tn 43	3	68	Pärnu maakond	624	Pärnu linn	6619	Pärnu linn			0SQG	Kooli tn			BDSG	43			68624661900000SQG0000BDSG00000000	3063721	6471010	530660	58,37849	24,52407	58°22'42.57"	24°31'26.65"
2204717	9900	3	NA	Vajab renoveerimist	1928	Pärna 16 Antsla Antsla vald Võrumaa	2013	Võrumaa	Võru maakond, Antsla vald, Antsla linn, Pärna tn 16	3	87	Võru maakond	142	Antsla vald	1301	Antsla linn			05VD	Pärna tn			1GTZ	16			871421301000005VD00001GTZ00000000	3247052	6412261	650418	57,8266	26,532	57°49'35.75"	26°31'55.22"
2204723	16297.47	3	106	San. remont tehtud	1931	Abja-Vanamõisa Abja vald Viljandimaa	2013	Viljandimaa	Viljandi maakond, Mulgi vald, Abja-Vanamõisa küla	1	84	Viljandi maakond	480	Mulgi vald	8593	Abja-Vanamõisa küla											844808593000000000000000000000000	3221466	6441558	577035	58,10839	25,3068	58°6'30.22"	25°18'24.50"
2204791	95000	7	461.8	Vajab renoveerimist	1920	Sadama 2 Haapsalu Haapsalu Läänemaa	2013	Läänemaa	Lääne maakond, Haapsalu linn, Haapsalu linn, Sadama tn 2	3	56	Lääne maakond	184	Haapsalu linn	1692	Haapsalu linn			0RPW	Sadama tn			AVQT	2			56184169200000RPW0000AVQT00000000	2664235	6534716	473154	58,95069	23,53355	58°57'2.47"	23°32'0.78"
2204793	12600	NA	65	Vajab renoveerimist	1960	Savi 16 Narva Ida-Virumaa	2013	Ida-Virumaa	Ida-Viru maakond, Narva linn, Savi tn	2	45	Ida-Viru maakond	511	Narva linn					01B8	Savi tn							455110000000001B80000000000000000	2842420	6587735	737712	59,36093	28,18241	59°21'39.35"	28°10'56.67"
2204858	32000	5	81.8	Vajab renoveerimist	1914	Uus-Sauga 21 Ülejõe Pärnu Pärnumaa	2013	Pärnumaa	Pärnu maakond, Pärnu linn, Pärnu linn, Uus-Sauga tn 21	3	68	Pärnu maakond	624	Pärnu linn	6619	Pärnu linn			0SY6	Uus-Sauga tn			BGE7	21			68624661900000SY60000BGE700000000	3073517	6472712	528309	58,39393	24,48409	58°23'38.15"	24°29'2.74"
2204860	56000	3	90	Uus	2010	Viljandi mnt. Hagudi Rapla vald Raplamaa	2013	Raplamaa	Rapla maakond, Rapla vald, Hagudi alevik, Viljandi mnt 1	3	71	Rapla maakond	668	Rapla vald	1716	Hagudi alevik			06AW	Viljandi mnt			5KE8	1			716681716000006AW00005KE800000000	3200842	6547879	546867	59,06713	24,81708	59°4'1.68"	24°49'1.47"
2204861	45000	4	152.8	Uus	2010	Soosilla tee 15 Külitse Ülenurme vald Tartumaa	2013	Tartumaa	Tartu maakond, Kambja vald, Külitse alevik, Soosilla vkt 15	3	79	Tartu maakond	283	Kambja vald	3986	Külitse alevik	2DPR	Soosilla vkt					BZ08	15			7928339862DPR00000000BZ0800000000	3420220	6469040	651933	58,33549	26,59443	58°20'7.78"	26°35'39.95"
2204897	53000	5	92.9	Valmis	1960	Rohu 14 Pärnu Pärnumaa	2013	Pärnumaa	Pärnu maakond, Pärnu linn, Pärnu linn, Rohu tn 14	3	68	Pärnu maakond	624	Pärnu linn	6619	Pärnu linn			0T26	Rohu tn			B69D	14			68624661900000T260000B69D00000000	3040945	6473171	529277	58,39799	24,50071	58°23'52.75"	24°30'2.54"
2204927	65000	3	241.1	Valmis	1927	Tabraku Kelu Lihula vald Läänemaa	2013	Läänemaa	Pärnu maakond, Lääneranna vald, Kelu küla, Tabraku	3	68	Pärnu maakond	430	Lääneranna vald	2946	Kelu küla					2UYA	Tabraku					684302946000000002UYA000000000000	2941588	6511502	492876	58,74305	23,87696	58°44'35.00"	23°52'37.05"
2204928	395000	7	273	Valmis	2000	Humala 4 Pärnu Pärnumaa	2013	Pärnumaa	Pärnu maakond, Pärnu linn, Pärnu linn, Humala tn 4	3	68	Pärnu maakond	624	Pärnu linn	6619	Pärnu linn			0SN7	Humala tn			BJTP	4			68624661900000SN70000BJTP00000000	3090636	6473391	529356	58,39996	24,50208	58°23'59.85"	24°30'7.51"
2204936	88000	5	269.7	Renoveeritud	1994	Tallinna mnt 61b Haapsalu Läänemaa	2013	Läänemaa	Lääne maakond, Haapsalu linn, Haapsalu linn, Tallinna mnt 61b	3	56	Lääne maakond	184	Haapsalu linn	1692	Haapsalu linn			0RTZ	Tallinna mnt			AVSH	61b			56184169200000RTZ0000AVSH00000000	2664377	6533208	474890	58,93725	23,56388	58°56'14.11"	23°33'49.98"
2204943	185000	4	391	Valmis	1991	Jõe 16 Türi Türi vald Järvamaa	2013	Järvamaa	Järva maakond, Türi vald, Türi linn, Jõe tn 16	3	52	Järva maakond	834	Türi vald	8594	Türi linn			0UFU	Jõe tn			CHW8	16			52834859400000UFU0000CHW800000000	3527451	6520254	582785	58,81375	25,43283	58°48'49.50"	25°25'58.19"
2204967	37000	NA	177	NA	1995	Hänike Sõmerpalu vald Võrumaa	2013	Võrumaa	Võru maakond, Võru vald, Hänike küla	1	87	Võru maakond	917	Võru vald	1942	Hänike küla											879171942000000000000000000000000	3221045	6414469	664432	57,84144	26,76918	57°50'29.17"	26°46'9.05"
2204972	10000	3	85.9	Keskmine	1930	Vahastu Kaiu vald Raplamaa	2013	Raplamaa	Rapla maakond, Rapla vald, Vahastu küla	1	71	Rapla maakond	668	Rapla vald	8842	Vahastu küla											716688842000000000000000000000000	3158269	6535255	572911	58,95018	25,26688	58°57'0.65"	25°16'0.76"
2204981	16000	3	60.5	Vajab renoveerimist	1926	Murrutalu Urissaare Häädemeeste vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Häädemeeste vald, Urissaare küla, Murrutalu	3	68	Pärnu maakond	214	Häädemeeste vald	8724	Urissaare küla					AKJD	Murrutalu					68214872400000000AKJD000000000000	2913320	6432139	536276	58,02907	24,61398	58°1'44.66"	24°36'50.31"
