PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Tallinn tõsine;Tallinn;H;tõsine;A;O;1;72;17;45442;0.026935434179833635;5.928975664281637
Tallinn armas;Tallinn;H;armas;A;O;1;72;18;45442;0.02851987148452973;5.75254652101335
Moskva suur;Moskva;H;suur;A;O;1;11;119;45442;0.028805950442322082;5.722224707809756
Tallinn kerge;Tallinn;H;kerge;A;O;1;72;22;45442;0.034857620703314114;5.169428298548557
Vene vana;Vene;H;vana;A;O;1;28;61;45442;0.037586373839179614;4.964168892241783
Pirita suur;Pirita;H;suur;A;O;1;16;119;45442;0.04189956427974121;4.680651258418555
Tallinn viimne;Tallinn;H;viimne;A;O;1;72;27;45442;0.04277980722679459;4.627990299311244
Tallinn õige;Tallinn;H;õige;A;O;1;72;28;45442;0.04436424453149069;4.537073819953351
Tallinn tõene;Tallinn;H;tõene;A;O;1;72;28;45442;0.04436424453149069;4.537073819953351
Rootsi suur;Rootsi;H;suur;A;O;1;18;119;45442;0.047137009814708856;4.388836927650475
Tallinn raske;Tallinn;H;raske;A;O;1;72;33;45442;0.052286431054971175;4.144599776392872
Tallinn pikk;Tallinn;H;pikk;A;O;1;72;34;45442;0.05387086835966727;4.076368403995362
Saksa suur;Saksa;H;suur;A;O;1;21;119;45442;0.054993178117160334;4.029772550351812
Tallinn kena;Tallinn;H;kena;A;O;1;72;38;45442;0.060208617578451654;3.8300296012215655
Kuimetsa suur;Kuimetsa;H;suur;A;O;1;29;119;45442;0.07594296025703094;3.353165730480219
Pirita oma;Pirita;H;oma;A;O;1;16;317;45442;0.11161480568636944;2.6591351345372676
Vene oma;Vene;H;oma;A;O;1;28;317;45442;0.19532590995114651;1.820707115453251
