id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_MNIMI	Added geom info_MKOOD	Added geom info_xcoord	Added geom info_ycoord
"19133"	"1865"	"11"	"20"	"34"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Saare	Kihelkonna	Kotlandi	"302"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"19989"	"1866"	"9"	"10"	"30"	NULL	Saare	Kihelkonna	Kotlandi	"106"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"17171"	"1874"	"2"	"4"	"14"	Laenud ja võlanõuded	Pärnu	Pärnu-Elisabethi	Sauga	"423"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"18519"	"1886"	"7"	"11"	"113"	"Perekonna- ja pärimisasjad; Laenud ja võlanõuded"	Tartu	Võnnu	Ahja	"823"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17173"	"1884"	"9"	"21"	"209"	Varavastased kuriteod	Tartu	Võnnu	Ahja	"2197"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18805"	"1886"	"12"	"12"	"193"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"810"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19134"	"1865"	"12"	"4"	"35"	NULL	Saare	Kihelkonna	Kotlandi	"105"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"19990"	"1866"	"9"	"24"	"31"	NULL	Saare	Kihelkonna	Kotlandi	"98"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"19375"	"1910"	"2"	"11"	"3"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Kambja	Vana-Prangli	"2594"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17176"	"1884"	"9"	"28"	"212"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"377"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17178"	"1884"	"9"	"28"	"214"	Laenud ja võlanõuded	Tartu	Võnnu	Ahja	"583"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17575"	"1885"	"5"	"10"	"75"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"351"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18520"	"1886"	"7"	"11"	"114"	"Kahjutasu; Varavastased kuriteod"	Tartu	Võnnu	Ahja	"1107"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19135"	"1865"	"12"	"11"	"36"	NULL	Saare	Kihelkonna	Kotlandi	"105"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"4039"	"1884"	"10"	"12"	"218"	Perekonna- ja pärimisasjad	Tartu	Võnnu	Ahja	"1062"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18521"	"1886"	"7"	"25"	"115"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"632"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18965"	"1857"	"3"	"15"	"43"	"Perekonna- ja pärimisasjad; Varalised tehingud; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Kodavere	Alatskivi	"1147"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"20815"	"1905"	"3"	"24"	"2"	"Varalised tehingud; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Järva	Türi	Väätsa	"2259"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17182"	"1884"	"10"	"5"	"217"	Varavastased kuriteod	Tartu	Võnnu	Ahja	"1509"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"24060"	"1887"	"10"	"23"	17/24	Sõim ja vägivald	Harju	Kose	Palvere	"1768"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"18522"	"1886"	"7"	"25"	"116"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"517"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19136"	"1865"	"12"	"18"	"37"	NULL	Saare	Kihelkonna	Kotlandi	"105"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"19208"	"1866"	"9"	"12"	"48"	Varalised tehingud	Võru	Räpina	Kahkva	"907"	Võru maakond	"0087"	680247.817063047	6408135.79838293
"18523"	"1886"	"7"	"25"	"117"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Võnnu	Ahja	"342"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18768"	"1892"	"3"	"19"	"10"	Laenud ja võlanõuded	Viljandi	Põltsamaa	Adavere	"917"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"17439"	"1871"	"6"	"4"	"55"	Kahjutasu	Tartu	Torma	Avinurme	"1026"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17186"	"1868"	"3"	"16"		"Sõim ja vägivald; Töö- ja teenistussuhted; Laenud ja võlanõuded"	Harju	Juuru	Juuru	"2274"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"19137"	"1868"	"9"	"21"	"35"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.; Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. ; Kahjutasu; Muud üleastumised"	Järva	Peetri	Väike-Kareda	"289"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"21355"	"1889"	"11"	"10"	"286"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"933"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19209"	"1870"	"2"	"21"		Määratlemata	Järva	Peetri	Väike-Kareda	"144"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"18524"	"1886"	"7"	"25"	"118"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Võnnu	Ahja	"496"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
