id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters
14775	1905	4	1	6	Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Tartu	Torma	Avinurme	2295
9376	1855	4	25		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	335
9171	1883	7	11		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	142
8650	1880	3	6		Laenud ja võlanõuded	Viru	Iisaku	Pootsiku	1007
8655	1885	3	14	35	Laenud ja võlanõuded	Pärnu	Tori	Sindi	1183
8685	1885	5	21	119	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	384
8693	1834	6	16		Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	399
8673	1886	1	20	3	Varavastased kuriteod	Järva	Türi	Särevere	3763
8652	1885	3	14	33	Sõim ja vägivald	Pärnu	Tori	Sindi	560
8657	1833	3	18		Muud üleastumised	Viljandi	Paistu	Holstre	1135
9172	1883	8	8		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	143
8686	1885	5	21	120	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	76
8682	1881	8	8	15	Kahjutasu	Harju	Juuru	Kaiu	1008
8694	1834	6	28		NULL	Viljandi	Paistu	Holstre	1
8484	1877	10	25	37	NULL	Võru	Rõuge	Saaluse	833
8675	1890	7	23	91	NULL	Tartu	Kambja	Haaslava	110
9173	1883	9	12		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	146
8666	1833	4	15		Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	612
8683	1885	5	21	116	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	311
1408	1889	9	28	9	Kahjutasu	Harju	Hageri	Kohila	890
18697	1896	4	5	5	Varalised tehingud	Järva	Türi	Väätsa	1402
9378	1879	11	5	39	NULL	Viru	Haljala	Vihula	139
8663	1833	4	15		Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	790
8664	1886	1	20	2	Varavastased kuriteod	Järva	Türi	Särevere	2529
8676	1867	8	24	5	NULL	Harju	Keila	Harku	1060
8687	1885	5	21	122	Laenud ja võlanõuded	Tartu	Otepää	Pühajärve	286
9174	1883	10	10		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	145
