id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_KOOD	Added geom info_MAAKOND	Added geom info_KUBERMANG	Added geom info_xcoord	Added geom info_ycoord
"16547"	"1884"	"2"	"10"	"59"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"680"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"11960"	"1888"	"5"	"16"	"37"	"Sõim ja vägivald; Kahjutasu"	Harju	Kuusalu	Kolga	"1424"	d97145	Harju	Eestimaa	589207.411134544	6594831.67850229
"11962"	"1888"	"5"	"23"	"39"	"Perekonna- ja pärimisasjad; Laenud ja võlanõuded"	Harju	Kuusalu	Kolga	"2048"	d97145	Harju	Eestimaa	589207.411134544	6594831.67850229
"7877"	"1876"	"6"	"18"		Laenud ja võlanõuded	Tartu	Kodavere	Alatskivi	"411"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"721"	"1856"	"4"	"6"	"18"	"Varalised tehingud; Laenud ja võlanõuded"	Tartu	Kodavere	Alatskivi	"1528"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"11953"	"1891"	"8"	"19"		Töö- ja teenistussuhted	Lääne	Kullamaa	Piirsalu	"2515"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"11968"	"1876"	"3"	"8"	"154"	Laenud ja võlanõuded	Järva	Türi	Särevere	"547"	d97192	Järva	Eestimaa	581053.656070628	6521624.13897247
"12690"	"1850"	"3"	"17"		Perekonna- ja pärimisasjad	Tartu	Kodavere	Ranna	"379"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12106"	"1880"	"12"	"6"	"5"	Määratlemata	Lääne	Martna	Martna	"741"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"12802"	"1893"	"10"	"11"	"24"	Varalised tehingud	Lääne	Kullamaa	Piirsalu	"426"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"13249"	"1856"	"11"	"23"	"94"	Töö- ja teenistussuhted	Tartu	Kodavere	Alatskivi	"322"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"16930"	"1886"	"11"	"3"	"13"	Varavastased kuriteod	Järva	Türi	Väätsa	"1131"	d97192	Järva	Eestimaa	581053.656070628	6521624.13897247
"11969"	"1866"	"2"	NULL		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Võru	Räpina	Räpina	"1709"	d97174	Võru	Liivimaa	699441.264460731	6445131.29728697
"11990"	"1876"	"12"	"15"	"52"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Maarja-Magdaleena	Jõe	"1590"	d97150	Tartu	Liivimaa	664889.980319882	6497435.46837665
"12107"	"1874"	"3"	"8"	"32"	NULL	Tartu	Kursi	Puurmani	"713"	d97144	Tartu	Liivimaa	633749.653824002	6491672.86998366
"11019"	"1842"	"2"	"8"	"61"	Varavastased kuriteod	Tartu	Kodavere	Ranna	"61"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"14614"	"1888"	"1"	"19"		Laenud ja võlanõuded	Tartu	Rõngu	Aakre	"337"	d97179	Tartu	Liivimaa	631479.266685926	6444153.29787797
"12108"	"1885"	"10"	"18"	"256"	Laenud ja võlanõuded	Pärnu	Halliste	Penuja	"766"	d97110	Pärnu	Liivimaa	578199.541828338	6447181.72644882
"11264"	"1842"	"2"	"8"	"64"	Varavastased kuriteod	Tartu	Kodavere	Ranna	"121"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12903"	"1850"	"6"	"22"		Kahjutasu	Tartu	Kodavere	Ranna	"415"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"14454"	"1881"	"8"	"14"	"58"	"Riiklikud, kiriklikud ja kogukondlikud koormised"	Võru	Vastseliina	Misso	"594"					
