Aasta;Maakond;Juhendaja_haridus;Arv
2009;Võru maakond;Keskeriharidus;24
2010;Harju maakond;Keskeriharidus;15
2010;Hiiu maakond;Keskeriharidus;9
2010;Ida-Viru maakond;Keskeriharidus;6
2010;Jõgeva maakond;Keskeriharidus;7
2010;Järva maakond;Keskeriharidus;4
2010;Lääne maakond;Keskeriharidus;9
2010;Lääne-Viru maakond;Keskeriharidus;40
2010;Põlva maakond;Keskeriharidus;13
2010;Pärnu maakond;Keskeriharidus;21
2010;Rapla maakond;Keskeriharidus;17
2010;Saare maakond;Keskeriharidus;9
2010;Tartu maakond;Keskeriharidus;35
2010;Valga maakond;Keskeriharidus;0
2010;Viljandi maakond;Keskeriharidus;16
2010;Võru maakond;Keskeriharidus;24
2011;Harju maakond;Keskeriharidus;23
2011;Hiiu maakond;Keskeriharidus;12
2011;Ida-Viru maakond;Keskeriharidus;6
2011;Jõgeva maakond;Keskeriharidus;8
2011;Järva maakond;Keskeriharidus;6
2011;Lääne maakond;Keskeriharidus;9
2011;Lääne-Viru maakond;Keskeriharidus;36
2011;Põlva maakond;Keskeriharidus;8
2011;Pärnu maakond;Keskeriharidus;24
2011;Rapla maakond;Keskeriharidus;18
2011;Saare maakond;Keskeriharidus;11
2011;Tartu maakond;Keskeriharidus;24
2011;Valga maakond;Keskeriharidus;1
2011;Viljandi maakond;Keskeriharidus;15
2011;Võru maakond;Keskeriharidus;26
2012;Harju maakond;Keskeriharidus;18
2012;Hiiu maakond;Keskeriharidus;8
2012;Ida-Viru maakond;Keskeriharidus;6
2012;Jõgeva maakond;Keskeriharidus;5
2012;Järva maakond;Keskeriharidus;5
2012;Lääne maakond;Keskeriharidus;10
2012;Lääne-Viru maakond;Keskeriharidus;42
2012;Põlva maakond;Keskeriharidus;13
2012;Pärnu maakond;Keskeriharidus;19
2012;Rapla maakond;Keskeriharidus;19
2012;Saare maakond;Keskeriharidus;10
2012;Tartu maakond;Keskeriharidus;10
2012;Valga maakond;Keskeriharidus;0
2012;Viljandi maakond;Keskeriharidus;16
2012;Võru maakond;Keskeriharidus;23
2013;Harju maakond;Keskeriharidus;18
2013;Hiiu maakond;Keskeriharidus;7
2013;Ida-Viru maakond;Keskeriharidus;6
2013;Jõgeva maakond;Keskeriharidus;5
2013;Järva maakond;Keskeriharidus;5
2013;Lääne maakond;Keskeriharidus;10
2013;Lääne-Viru maakond;Keskeriharidus;40
2013;Põlva maakond;Keskeriharidus;12
2013;Pärnu maakond;Keskeriharidus;19
2013;Rapla maakond;Keskeriharidus;19
2013;Saare maakond;Keskeriharidus;10
2013;Tartu maakond;Keskeriharidus;32
2013;Valga maakond;Keskeriharidus;0
2013;Viljandi maakond;Keskeriharidus;16
2013;Võru maakond;Keskeriharidus;23
2014;Harju maakond;Keskeriharidus;20
2014;Hiiu maakond;Keskeriharidus;5
2014;Ida-Viru maakond;Keskeriharidus;6
2014;Jõgeva maakond;Keskeriharidus;5
2014;Järva maakond;Keskeriharidus;5
2014;Lääne maakond;Keskeriharidus;9
2014;Lääne-Viru maakond;Keskeriharidus;38
2014;Põlva maakond;Keskeriharidus;13
2014;Pärnu maakond;Keskeriharidus;19
2014;Rapla maakond;Keskeriharidus;19
2014;Saare maakond;Keskeriharidus;10
2014;Tartu maakond;Keskeriharidus;32
2014;Valga maakond;Keskeriharidus;0
2014;Viljandi maakond;Keskeriharidus;16
2014;Võru maakond;Keskeriharidus;24
2015;Harju maakond;Keskeriharidus;20
2015;Hiiu maakond;Keskeriharidus;5
2015;Ida-Viru maakond;Keskeriharidus;6
2015;Jõgeva maakond;Keskeriharidus;5
2015;Järva maakond;Keskeriharidus;5
2015;Lääne maakond;Keskeriharidus;10
2015;Lääne-Viru maakond;Keskeriharidus;35
2015;Põlva maakond;Keskeriharidus;13
2015;Pärnu maakond;Keskeriharidus;18
2015;Rapla maakond;Keskeriharidus;18
2015;Saare maakond;Keskeriharidus;12
2015;Tartu maakond;Keskeriharidus;28
2015;Valga maakond;Keskeriharidus;0
2015;Viljandi maakond;Keskeriharidus;16
2015;Võru maakond;Keskeriharidus;22
2016;Harju maakond;Keskeriharidus;21
2016;Hiiu maakond;Keskeriharidus;5
2016;Ida-Viru maakond;Keskeriharidus;6
