"Aasta","Maakond","Tulud riigieelarvest","Tulud kohaliku omavalitsuse eelarvest","Kulud kokku","Tööjõukulud","Komplekteerimiskulud","Investeeringud põhivarasse"
"2011","Põlva maakond",83.95,758.27,855.63,448.16,181.80,0.00
"2011","Pärnu maakond",248.96,1240.14,1551.13,783.42,311.08,79.33
"2011","Rapla maakond",709.18,909.71,1620.89,513.51,185.51,741.12
"2011","Saare maakond",89.35,573.77,670.65,400.57,136.56,9.40
"2011","Tartu maakond",229.60,1934.03,2297.12,1387.51,411.58,83.98
"2011","Valga maakond",86.17,498.73,584.44,350.88,122.68,0.00
"2011","Viljandi maakond",120.64,977.54,1131.42,641.71,208.64,40.51
"2011","Võru maakond",96.34,682.43,787.44,492.41,161.97,0.00
"2012","Harju maakond",609.40,4591.75,5351.62,2850.40,1116.56,49.38
"2012","..Tallinn",345.90,2404.10,2893.40,1570.40,640.40,1.00
"2012","Hiiu maakond",26.77,159.94,192.48,113.49,39.21,2.82
"2012","Ida-Viru maakond",271.00,1961.93,2238.49,1326.95,385.12,70.65
"2012","Jõgeva maakond",134.45,594.53,794.78,439.15,150.31,0.00
"2012","Järva maakond",87.92,599.95,709.17,411.39,130.74,3.84
"2012","Lääne maakond",78.57,444.93,528.09,332.33,107.48,0.00
"2012","Lääne-Viru maakond",184.00,1243.95,1402.79,848.43,245.81,94.39
"2012","Põlva maakond",87.12,769.63,875.97,450.71,177.37,0.00
"2012","Pärnu maakond",170.78,1270.66,1442.84,792.52,310.87,16.14
"2012","Rapla maakond",95.54,937.11,1036.60,524.01,188.77,119.88
"2012","Saare maakond",89.51,625.33,756.08,418.08,136.12,74.43
"2012","Tartu maakond",239.98,2021.21,2277.96,1400.13,394.42,41.37
"2012","Valga maakond",85.90,512.95,618.22,352.42,123.27,21.63
"2012","Viljandi maakond",116.70,957.23,1099.75,650.70,207.42,1.50
"2012","Võru maakond",96.17,698.31,874.08,489.64,162.86,63.16
"2013","Harju maakond",566.47,4773.10,5573.78,2982.27,1123.60,67.76
"2013","..Tallinn",338.10,2445.30,2956.30,1615.80,642.60,0.00
"2013","Hiiu maakond",25.38,169.70,197.27,118.78,42.24,1.90
"2013","Ida-Viru maakond",271.62,2031.98,2323.50,1528.83,383.24,2.37
"2013","Jõgeva maakond",136.44,634.30,840.62,460.06,149.19,3.49
"2013","Järva maakond",89.92,649.92,783.46,431.08,133.85,29.50
"2013","Lääne maakond",78.75,482.89,574.80,347.27,110.08,0.40
"2013","Lääne-Viru maakond",140.26,1281.13,1420.88,894.14,254.94,11.43
"2013","Põlva maakond",84.16,799.21,896.94,478.62,180.89,17.11
"2013","Pärnu maakond",176.97,1273.91,1453.53,828.16,311.83,12.45
"2013","Rapla maakond",94.22,906.68,1006.16,578.72,193.59,32.33
"2013","Saare maakond",93.01,619.29,722.80,435.74,139.53,6.67
"2013","Tartu maakond",244.72,2095.44,2422.00,1487.01,431.80,49.75
"2013","Valga maakond",88.51,603.26,685.91,366.71,121.94,69.09
"2013","Viljandi maakond",119.57,952.19,1106.25,641.42,218.78,0.00
"2013","Võru maakond",94.35,758.81,868.12,532.53,165.87,0.00
"2014","Harju maakond",590.62,5020.22,5792.95,3090.43,1159.57,93.82
"2014","..Tallinn",350.70,2501.90,3033.80,1645.30,651.30,29.60
"2014","Hiiu maakond",26.59,183.35,212.73,129.17,44.39,4.44
"2014","Ida-Viru maakond",270.36,2215.60,2510.86,1602.31,367.90,117.07
"2014","Jõgeva maakond",138.04,689.42,903.72,498.47,154.75,1.23
"2014","Järva maakond",92.32,636.81,749.41,433.36,139.35,1.32
"2014","Lääne maakond",80.26,505.78,590.63,365.73,111.38,0.35
"2014","Lääne-Viru maakond",139.28,1416.73,1583.49,950.71,255.49,102.32
"2014","Põlva maakond",86.10,808.62,908.69,488.50,185.61,0.00
"2014","Pärnu maakond",179.27,1360.09,1540.09,918.33,308.77,8.82
"2014","Rapla maakond",95.80,928.54,1025.35,617.64,196.22,23.38
"2014","Saare maakond",95.32,668.82,769.21,484.10,142.02,4.55
"2014","Tartu maakond",248.04,2246.72,2544.80,1593.03,452.30,19.69
"2014","Valga maakond",90.39,575.85,657.27,404.58,129.72,5.42
"2014","Viljandi maakond",120.72,1016.13,1167.15,665.97,211.56,12.87
"2014","Võru maakond",96.05,763.99,879.74,565.64,166.14,0.00
"2015","Harju maakond",603.59,5398.66,6239.79,3345.29,1200.25,266.26
"2015","..Tallinn",364.10,2629.10,3197.20,1757.60,677.00,25.01
"2015","Hiiu maakond",37.23,201.20,241.68,138.23,40.38,13.80
"2015","Ida-Viru maakond",289.27,2226.83,2524.92,1632.75,382.92,56.84
"2015","Jõgeva maakond",144.78,751.65,967.66,548.60,159.41,10.00
"2015","Järva maakond",96.68,635.47,746.12,443.84,137.07,1.64
"2015","Lääne maakond",93.61,491.65,593.81,382.50,129.01,11.41
"2015","Lääne-Viru maakond",150.05,1421.33,1563.77,981.94,260.84,31.54
"2015","Põlva maakond",90.44,882.76,985.62,514.28,190.62,25.20
"2015","Pärnu maakond",191.93,1450.30,1643.59,970.88,329.26,22.10
"2015","Rapla maakond",100.85,953.70,1109.44,635.08,202.52,50.96
"2015","Saare maakond",104.03,722.87,834.25,515.98,154.50,21.39
"2015","Tartu maakond",259.67,2427.75,2727.74,1684.67,474.89,61.15
"2015","Valga maakond",94.94,596.81,693.18,421.97,133.33,7.04
"2015","Viljandi maakond",126.77,1048.04,1198.81,699.21,227.55,2.35
"2015","Võru maakond",100.70,813.76,932.88,609.81,170.89,3.60
"2016","Harju maakond",639.95,5543.56,6365.99,3577.81,1254.28,67.17
"2016","..Tallinn",379.20,2841.30,3401.20,1905.40,698.80,14.20
"2016","Hiiu maakond",52.64,206.56,262.67,158.74,51.35,11.21
"2016","Ida-Viru maakond",329.82,2601.17,2948.60,1690.99,379.72,457.81
"2016","Jõgeva maakond",160.20,799.17,1039.34,595.10,165.35,22.34
"2016","Järva maakond",162.00,662.78,830.70,459.40,130.52,64.68
