koht	pealkiri	aasta	žanr
Aksi saar (Harjumaa)	Hülgepüük	1938	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Al-Bireh (Palestiina)	Karmil pinnal	2015	Dokumentaalfilm, Portreefilm
Alai org (Kõrgõzstan)	Lenin - inimene ja mägi	2001	Dokumentaalfilm
Alam-Pedja (Tartumaa)	Tuulte tahutud maa	2018	Dokumentaalfilm, Loodusfilm, Vaatefilm
Alam-Pedja (Tartumaa)	Habras maailm	2016	Dokumentaalfilm, Loodusfilm
Alam-Pedja (Tartumaa)	Emajõgi	2015	Tudengifilm, Lühimängufilm
Alam-Pedja, Palupõhja (Tartumaa) 	Sisekõla	2014	Dokumentaalfilm, Portreefilm, Tudengifilm
Alaska (Vene Ameerika, 1733-1867)	Spe Fretus - lootusele tuginedes	2008	Dokumentaalfilm, Portreefilm
Alatau mäestik (Kasashtan)	Hukkunud Alpinisti hotell	1979	Mängufilm, Täispikk mängufilm
Alatskivi (Tartumaa)	Kohtumõistja	2013	Mängufilm, Täispikk mängufilm
Alatskivi (Tartumaa)	Monument	2008	Dokumentaalfilm
Alatskivi (Tartumaa)	Kodupinnale tulek. Kalju Lepik 70	1990	Dokumentaalfilm, Portreefilm
Alatskivi (Tartumaa)	Sinise taeva all	1982	Dokumentaalfilm
Alatskivi (Tartumaa)	Juhan Liivi lugu	1975	Populaarteaduslik film, Õppefilm, Tellimusfilm, Muud liigitused
Alatskivi (Tartumaa)	Suur vesi	1966	Dokumentaalfilm, Vaatefilm
Alatskivi (Tartumaa)	Alatskivi	1940	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Alatskivi (Tartumaa)	IV Kaitseliidu päev Tallinnas ja Kaitseliidu suvelaagrid	1929	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Alatskivi lossipark	Kohtumõistja	2013	Mängufilm, Täispikk mängufilm
Alavere (Harjumaa)	Algas rukkilõikus	1961	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Albu (Järvamaa)	A. H. Tammsaare 100	1978	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Albu (Järvamaa)	A. H. Tammsaare III	1974	Populaarteaduslik film, Õppefilm
