koht	pealkiri	aasta	žanr
Pelgulinn (Tallinn)	Õllerevolutsioon	2016	Dokumentaalfilm
Pelgulinn (Tallinn)	40+2 nädalat	2012	Dokumentaalfilm, Olukirjeldusfilm
Pelgulinn (Tallinn)	Evald Okas	2009	Portreefilm, Dokumentaalfilm
Pelgulinn (Tallinn)	Toomiku film	2008	Dokumentaalfilm, Portreefilm
Pelgulinn (Tallinn)	Pelgulinna sünnitusmajas	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pelgulinn (Tallinn)	Tallinna 46. Keskkool	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pelgulinn (Tallinn)	Ehitajate päev	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pelgulinn (Tallinn)	Uus õppeaasta algas	1945	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pelgulinna rand (Tallinn)	Meile kirjutatakse. Supelrannas	1955	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pelgulinna rand (Tallinn)	Puude istutamine Pelgulinna rannal	1934	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Pelgurand (Tallinn)	Silikaltsiitkividest elamud Tallinnas	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Penijõe (Läänemaa)	Loomakasvatajate koolis	1953	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Penuja (Viljandimaa)	Penuja sovhoosis	1955	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pepleri tänav (Tartu)	Tartu linnas 1989	1989	Amatöörfilm, Kroonika
Pepleri tänav (Tartu)	Üliõpilased ehitavad endile ühiselamut	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pepleri tänav (Tartu)	"Eesti nädala" rongkäik Tartus	1931	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Perdaku küla (Põlvamaa)	Vahtsõ ilma veere pääl	2004	Dokumentaalfilm
Peresaare	Peressaare 10 km	1987	Amatöörfilm
Peressaare (Ida-Virumaa)	Elu uudismaadel	1938	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Perjatsi küla (Ida-Virumaa)	Pärand	2011	Dokumentaalfilm, Probleemfilm
Perm (Venemaa)	Mul annet on ka äikeseks	2012	Portreefilm, Dokumentaalfilm
Perm (Venemaa)	Kolmkümmend aastat hiljem	1989	Portreefilm, Dokumentaalfilm
Permi krai (Venemaa)	Elen vös - Kaama-taguste udmurtide ühispalvus	2019	Dokumentaalfilm, Antropoloogiafilm
Permi krai (Venemaa)	Töömehe au	1984	Dokumentaalfilm
Permi krai (Venemaa)	Elen vös - Kaama-taguste udmurtide ühispalvus	2019	Antropoloogiafilm, Dokumentaalfilm
Perth (Austraalia)	Austraalia eestlased 11. film	1995-1996	Amatöörfilm, Kroonika
Perth (Austraalia)	Austraalia eestlased 4. film	1995-1996	Amatöörfilm, Kroonika
Peruu	Räägi ära	2021	Dokumentaalfilm
Peruu	Talv vihmametsas	2019	Animafilm, Nukufilm
Pesells (Hispaania)	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Peterburi (Venemaa)	Lainest ja kivist	2020	Tudengifilm, Dokumentaalfilm
Peterburi (Venemaa)	Kas mõistab järeltulev sugu ...	2018	Dokumentaalfilm, Populaarteaduslik film, Õppefilm
Peterburi (Venemaa)	Kütt	2018	Dokumentaalfilm, Portreefilm
Peterburi (Venemaa)	Nõukogude hipid	2017	Dokumentaalfilm
Peterburi (Venemaa)	Talvelugu	2017	Animafilm, Joonisfilm
Peterburi (Venemaa)	Ühe unistuse maja	2016	Dokumentaalfilm
Peterburi (Venemaa)	Kristus elab Siberis	2015	Dokumentaalfilm, Olukirjeldusfilm
Peterburi (Venemaa)	Teekond Ussinuumajani	2015	Dokumentaalfilm, Antropoloogiafilm
Peterburi (Venemaa)	Sokurovi hääl	2014	Dokumentaalfilm, Portreefilm
Peterburi (Venemaa)	Heino Eller. Quinta Essentia	2013	Dokumentaalfilm, Portreefilm, Muusikadokumentaal
Peterburi mnt (Tallinn)	Vene dessantväed Tallinnas ja Eesti riikliku iseseisvuse väljakuulutamine	1991	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Peterburi tee (Tallinn)	Tallinna trammid ja trollid	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Peterhof (Venemaa)	Jonathan Austraaliast	2007	Dokumentaalfilm, Probleemfilm
Peterhof (Venemaa)	Eesti rattameeskond Sõpruse velotuuril	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Petlemm (Iisrael)	Tervitusi Nõukogude Eestist!	2007	Dokumentaalfilm, Probleemfilm
Petrodvorets (Peterhof) (Venemaa)	Läänemere tuuled	1984	Muusikafilm, Kontsertfilm
Petrodvorets (Peterhof) (Venemaa)	Mere kivi	1973	Dokumentaalfilm
Petrodvorets (Peterhof) (Venemaa)	Spordikroonika	1954	Amatöörfilm
Petrodvoretsk (Venemaa)	Purjespordi meistrid	1947	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Petrograd (Peterburi) (Venemaa)	Riigiks saamine	1993	Dokumentaalfilm
Petrograd (Peterburi) (Venemaa)	Läti punased kütid Tallinnas	1972	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Petrograd (Peterburi) (Venemaa)	Esimesed viisnurgad	1970	Dokumentaalfilm
Petropavlovsk (Venemaa)	Geisrite ja vulkaanide maal	1961	Dokumentaalfilm, Loodusfilm, Muud liigitused, Tellimusfilm
Petropavlovsk (Venemaa)	Ekspeditsioon Kamtšatkale	1960	Dokumentaalfilm
Petrozavodsk (NSVL)	Igitee	2017	Mängufilm, Täispikk mängufilm
Petseri	Kloostriga seotud	2011	Dokumentaalfilm, Portreefilm
Petseri	Okkaline rada	1971	Dokumentaalfilm, Portreefilm
Petseri	Kloostri müüri kõrval	1968	Dokumentaalfilm
Petseri	Eestimaa	1941	Dokumentaalfilm, Vaatefilm
Petseri	Filmikaameraga mööda Eestit	1941	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Petseri	Tule hävitustöö Petseris	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Petseri	Ühendatud segakoorid esitavad Petseri laulupäeval vene rahvalaulu "Värava juures"	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Petseri	Üleriigiline vene laulupäev Petseris	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Petseri	Petserimaa noortepüha	1938	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Petseri	Ringreis Eestis mais 1937	1937	Amatöörfilm, Kroonika
Petseri (Venemaa)	Valguseks/Valguseni/Valgusena	2015	Tudengifilm, Dokumentaalfilm
Petseri (Venemaa)	Seto saadik	2012	Dokumentaalfilm, Tudengifilm
Petseri (Venemaa)	Kloostriga seotud	2011	Dokumentaalfilm, Portreefilm
Petseri (Venemaa)	Uus päev luuakse idakaares	2008	Dokumentaalfilm, Olukirjeldusfilm
Petseri (Venemaa)	Vahtsõ ilma veere pääl	2004	Dokumentaalfilm
Petserimaa 	Raudteelased Erich Kõrran ja Jaan Lill	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Petserimaa 	Naistraktorist Siina Kisseljova	1941	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Petserimaa 	Kas tunned maad...	1931	Dokumentaalfilm, Vaatefilm
Petserimaa 	Suvelaager Taevaskojas, Jõgeva ja Alatskivi kaitseliidu malevkondade laagrid	1927	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Petserimaa 	Eesti Vabadussõda - Petserimaa	1919	Amatöörfilm, Kroonika
Petserimaa 	Eesti Vabadussõda I	1919	Amatöörfilm, Kroonika
Pietarsaari (Soome)	Samarbeit	2020	Tudengifilm, Dokumentaalfilm
Pietarsaari (Soome)	Hundi süda sees	2015	Dokumentaalfilm, Muusikadokumentaal
Pihkva (Venemaa)	Riigiks saamine	1993	Dokumentaalfilm
Pihkva (Venemaa)	Noorte majandusteadlaste VI vabariiklik teaduslik seminar	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pihkva (Venemaa)	Peipsi viisid	1982	Muusikafilm, Kontsertfilm
Pihkva (Venemaa)	Suur vesi	1966	Dokumentaalfilm, Vaatefilm
Pihkva (Venemaa)	Eesti iseseisvuse sünd	1950	Amatöörfilm, Kroonika
Pihkva Emajõgi (=Velikaja)	Noorte majandusteadlaste VI vabariiklik teaduslik seminar	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pihkva Emajõgi (=Velikaja)	Peipsi viisid	1982	Muusikafilm, Kontsertfilm
Pihkva Emajõgi (=Velikaja)	Veel on aega	1982	Dokumentaalfilm
Pihkva Emajõgi (=Velikaja)	Eesti iseseisvuse sünd	1950	Amatöörfilm, Kroonika
Pihkva oblast (Venemaa)	Perekond	2004	Dokumentaalfilm, Portreefilm
Pihkva oblast (Venemaa)	Migratsioonist Pihkvamaal	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pihkva oblast (Venemaa)	Linnutee tuuled	1977	Dokumentaalfilm, Antropoloogiafilm
Pihkva oblast (Venemaa)	Sõjaveteranid	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pihtla (Saaremaa)	Varjupaik	1999	Dokumentaalfilm
Pihuvere (Lääne-Virumaa)	Piibarid	1983	Muusikafilm, Kontsertfilm
Piila-Eikla sooasundus (Saaremaa)	E. V. President Konstantin Päts külaskäigul Saaremaal	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Piirissaare (Tartumaa)	Uus tõus, vana mõõn	2018	Dokumentaalfilm
Piirissaare (Tartumaa)	Laulud mere tagant	2003	Dokumentaalfilm, Muusikadokumentaal
Piirissaare (Tartumaa)	Elu pärast maailmalõppu	2001	Dokumentaalfilm
Piirissaare (Tartumaa)	Piirivalvepunktid	1997	Filmikroonika, Kroonikafilmid alates 1992
Piirissaare (Tartumaa)	Meie, piirissaarlased	1987	Dokumentaalfilm
Piirissaare (Tartumaa)	Suur vesi	1966	Dokumentaalfilm, Vaatefilm
Piistaoja (Pärnumaa)	Eesti mustakirju karja aretus	1989	Dokumentaalfilm, Tellimusfilm, Muud liigitused
Piistaoja (Pärnumaa)	Import	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Piistaoja (Pärnumaa)	Kõrge tunnustus hoolsa töö eest	1950	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Piistaoja (Pärnumaa)	Teaduslik sessioon Piistaoja katsejaamas	1950	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pikajärve (Põlvamaa)	Eesrindlikus masina-traktorijaamas	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pikavere (Harjumaa)	ELKNÜ 40. aastapäev	1962	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Pikk Jalg (Tallinn)	Tallinna kilud	2011	Mängufilm, Lühimängufilm, Muud liigitused
Pikk Jalg (Tallinn)	Disko ja tuumasõda	2009	Dokumentaalfilm
Pikk Jalg (Tallinn)	Võõras omade seas	2009	Dokumentaalfilm, Probleemfilm
Pikk Jalg (Tallinn)	6 tundi	2005	Dokumentaalfilm, Vaatefilm
Pikk Jalg (Tallinn)	Minu Eestimaa	2005	Dokumentaalfilm, Vaatefilm
Pikk Jalg (Tallinn)	Erki Kasemets	2002	Dokumentaalfilm, Portreefilm
Pikk Jalg (Tallinn)	Möödunud sajandi Eestist	2000	Dokumentaalfilm
Pikk Jalg (Tallinn)	Tallinna kummitusmajad	1994	Dokumentaalfilm
Pikk Jalg (Tallinn)	Dokumentaalsaade elust Eestis pärast taasiseisvumist 1991	1991	Muud liigitused, Võttematerjal
Pikk Jalg (Tallinn)	Jaapani ametiühingute delegatsioon Tallinnas	1986	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pikk tänav (Tallinn)	Kirjanikuga voodis	2019	Dokumentaalfilm
Pikk tänav (Tallinn)	Elagu skandaalid ja kollased sandaalid	2018	Dokumentaalfilm
Pikk tänav (Tallinn)	Fragile. Nägemiseni laval	2013	Dokumentaalfilm
Pikk tänav (Tallinn)	Mees torukübaraga	2012	Dokumentaalfilm, Portreefilm
Pikk tänav (Tallinn)	Saime kokku Solenzaras	2010	Dokumentaalfilm
Pikk tänav (Tallinn)	Tõrjutud mälestused	2005	Dokumentaalfilm, Probleemfilm
Pikk tänav (Tallinn)	Möödunud sajandi Eestist	2000	Dokumentaalfilm
Pikk tänav (Tallinn)	Tallinna kummitusmajad	1994	Dokumentaalfilm
Pikk tänav (Tallinn)	Hobuse aasta	1991	Dokumentaalfilm
Pikk tänav (Tallinn)	Riigivanem II	1991	Dokumentaalfilm
Pilistvere (Viljandimaa)	Aegumatu	2011	Dokumentaalfilm
Pilistvere (Viljandimaa)	Kodu-käija	2010	Dokumentaalfilm, Portreefilm
Pilistvere (Viljandimaa)	Ajapikku unustatakse meie nimi	2008	Dokumentaalfilm
Pilistvere (Viljandimaa)	Monument	2008	Dokumentaalfilm
Pilistvere (Viljandimaa)	Riigiks saamine	1993	Dokumentaalfilm
Pilistvere (Viljandimaa)	Balti tee	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pilistvere (Viljandimaa)	Pilistvere kivikangur	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pilistvere (Viljandimaa)	Kes on kes?	1982	Dokumentaalfilm
Pim (Venemaa)	Teade parlamendile	1989	Dokumentaalfilm, Antropoloogiafilm
Pimeaed (Narva)	Albert Üksip	1963	Dokumentaalfilm, Portreefilm
Pindi küla (Võrumaa)	Film minu emast	2007	Dokumentaalfilm
Pinneberg (Saksamaa)	Balti Ülikooli lugu	2015	Dokumentaalfilm
Pinneberg (Saksamaa)	Eestlane paguluses	1948	Kroonika, Amatöörfilm
Pinneberg (Saksamaa)	Eestlane paguluses	1948	Amatöörfilm, Kroonika
Pirita (Tallinn)	Kasuemad	2021	Dokumentaalfilm, Loodusfilm, Probleemfilm
Pirita (Tallinn)	Islam Eesti südames	2020	Dokumentaalfilm, Portreefilm
Pirita (Tallinn)	Käärid	2020	Dokumentaalfilm, Portreefilm
Pirita (Tallinn)	Vseviov	2020	Dokumentaalfilm, Portreefilm
Pirita (Tallinn)	Vello Salo. Igapäevaelu müstika	2018	Dokumentaalfilm, Portreefilm
Pirita (Tallinn)	Daniel	2010	Tudengifilm, Dokumentaalfilm
Pirita (Tallinn)	Etüüd palvest	2009	Dokumentaalfilm, Olukirjeldusfilm
Pirita (Tallinn)	Tervitusi Nõukogude Eestist!	2007	Dokumentaalfilm, Probleemfilm
Pirita (Tallinn)	Kas parimast piisab?	2005	Dokumentaalfilm, Probleemfilm
Pirita (Tallinn)	Vaba mees Priit Vesilind	2000	Dokumentaalfilm, Portreefilm
Pirita jõe ürgorg	Lammas all paremas nurgas	1992	Mängufilm, Täispikk mängufilm
Pirita jõe ürgorg	Aegade tuultes. Sajandi algus	1976	Dokumentaalfilm, Olukirjeldusfilm
Pirita jõe ürgorg	Aegade tuultes. Tormid ja hallad	1976	Dokumentaalfilm, Olukirjeldusfilm
Pirita jõe ürgorg	Tallinna Botaanikaaed	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita jõe ürgorg	Ohtlikud kurvid	1961	Mängufilm, Täispikk mängufilm
Pirita jõe ürgorg	Vallatud kurvid	1959	Mängufilm, Täispikk mängufilm
Pirita jõe ürgorg	NSV Liidu ALMAVÜ ratsaspordi esivõistlused 1954.a	1954	Dokumentaalfilm
Pirita jõekäär (Tallinn)	Laulusillad	1992	Dokumentaalfilm
Pirita jõekäär (Tallinn)	Ajalehe Pravda 22. üleliidulise jooksukrossi finaalvõistlused Pirital	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita jõekäär (Tallinn)	Jaanipäev	1978	Dokumentaalfilm
Pirita jõekäär (Tallinn)	Valge palavik	1976	Dokumentaalfilm, Probleemfilm
Pirita jõekäär (Tallinn)	Vehklemise meistrid	1941	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita jõgi (Tallinn)	Kirjanik Enn Vetemaa 50-aastane	1986	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Pirita jõgi (Tallinn)	Looduskaitsekuu: supelrandade puhastamine	1984	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Pirita jõgi (Tallinn)	Ajalehe Pravda 22. üleliidulise jooksukrossi finaalvõistlused Pirital	1983	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Pirita jõgi (Tallinn)	Olümpiatuli Tallinnas	1981	Dokumentaalfilm
Pirita jõgi (Tallinn)	Parem üks kord näha...	1980	Vaatefilm, Dokumentaalfilm
Pirita jõgi (Tallinn)	Sõpruspuu	1980	Dokumentaalfilm
Pirita jõgi (Tallinn)	Tallinn 80	1980	Muud liigitused, Tellimusfilm, Dokumentaalfilm
Pirita jõgi (Tallinn)	Jaanipäev	1978	Dokumentaalfilm
Pirita jõgi (Tallinn)	Tallinna mosaiik	1978	Populaarteaduslik film
Pirita jõgi (Tallinn)	Ees on kurv	1977	Lühimängufilm, Muud liigitused, Tellimusfilm, Mängufilm
Pirita rand (Tallinn)	Kasuemad	2021	Dokumentaalfilm, Loodusfilm, Probleemfilm
Pirita rand (Tallinn)	Leonhard Lapin. Protsess	2020	Dokumentaalfilm, Portreefilm
Pirita rand (Tallinn)	Allan	2014	Dokumentaalfilm, Portreefilm
Pirita rand (Tallinn)	Möödunud sajandi Eestist	2000	Dokumentaalfilm
Pirita rand (Tallinn)	Kallis härra Q	1998	Mängufilm, Täispikk mängufilm
Pirita rand (Tallinn)	Küüditamise aastapäeva tähistamine Pirital	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita rand (Tallinn)	Tallinna tervisespordiklubid	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita rand (Tallinn)	Sada rahvust kutsub: 2. jagu	1984	Tellimusfilm, Muud liigitused
Pirita rand (Tallinn)	Sõpruspuu	1980	Dokumentaalfilm
Pirita rand (Tallinn)	Tallinn 80	1980	Dokumentaalfilm, Muud liigitused, Tellimusfilm
Pirita tee (Tallinn)	Vseviov	2020	Dokumentaalfilm, Portreefilm
Pirita tee (Tallinn)	Lõbus perekond	2018	Mängufilm, Täispikk mängufilm
Pirita tee (Tallinn)	Allan	2014	Dokumentaalfilm, Portreefilm
Pirita tee (Tallinn)	Reis	2011	Dokumentaalfilm, Probleemfilm
Pirita tee (Tallinn)	Järv ja linn	2010	Dokumentaalfilm
Pirita tee (Tallinn)	Tsirkusetuur	2010	Dokumentaalfilm, Olukirjeldusfilm
Pirita tee (Tallinn)	Haaratus	2008	Tudengifilm, Lühimängufilm
Pirita tee (Tallinn)	Dirigendi kõla	2007	Dokumentaalfilm, Portreefilm, Muusikadokumentaal
Pirita tee (Tallinn)	Möödunud sajandi Eestist	2000	Dokumentaalfilm
Pirita tee (Tallinn)	Peaarhitektid	1999	Dokumentaalfilm
Pirita-Kose (Tallinn)	Unistus Ameerika tuurist	2021	Dokumentaalfilm, Muusikadokumentaal
Pirita-Kose (Tallinn)	Need teod süüdistavad	2019	Tudengifilm, Dokumentaalfilm
Pirita-Kose (Tallinn)	Terasratsanik	1999	Dokumentaalfilm, Portreefilm
Pirita-Kose (Tallinn)	Tallinna Kõrgem Ehitusvägede Kool	1980	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita-Kose (Tallinn)	ENSV Ametiühingute Vabatahtliku Spordiühingu Kalev ajaloost	1978	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita-Kose (Tallinn)	Lepo Mikko	1973	Dokumentaalfilm
Pirita-Kose (Tallinn)	NSV Liidu meistrivõistluste viimane etapp mootorrataste ringrajasõidus	1973	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita-Kose (Tallinn)	Mängivad Vikerlased	1972	Muusikafilm, Kontsertfilm
Pirita-Kose (Tallinn)	Sport. Kalevi suursõit	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirita-Kose (Tallinn)	NSV Liidu meistrivõistlused mootorispordis	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Pirogovi plats (Tartu)	MC Battle - sõnasõjad	2008	Dokumentaalfilm, Muusikadokumentaal
Pirogovi plats (Tartu)	Universitas Tartuensis 375	2007	Dokumentaalfilm, Vaatefilm
Pitsunda (Abhaasia)	Hind	1978	Dokumentaalfilm
Piusa (Võrumaa)	Vahtsõ ilma veere pääl	2004	Dokumentaalfilm
Piusa (Võrumaa)	Isuri eepos	1984	Muusikafilm
Piusa (Võrumaa)	Eesti NSV ehitusmaterjalitööstus	1983	Muud liigitused, Populaarteaduslik film, Õppefilm, Tellimusfilm
Piusa (Võrumaa)	Tuulelohe, luulelohe	1983	Muusikafilm, Kontsertfilm
Piusa (Võrumaa)	Looduserüvetajate kätetöö	1974	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Piusa (Võrumaa)	Piusa kaevandus	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Piusa jõgi (Võrumaa)	Uus päev luuakse idakaares	2008	Dokumentaalfilm, Olukirjeldusfilm
Piusa jõgi (Võrumaa)	Vesine lugu	1991	Tudengifilm, Dokumentaalfilm
Piusa jõgi (Võrumaa)	Kloostri müüri kõrval	1968	Dokumentaalfilm
Place du Tertre (Pariis)	Ilo Pariisist	2002	Dokumentaalfilm, Vaatefilm
Place Vend<U+00F4>me (Pariis)	Ilo Pariisist	2002	Vaatefilm, Dokumentaalfilm
Place Vend<U+00F4>me (Pariis)	Ilo Pariisist	2002	Dokumentaalfilm, Vaatefilm
Plate (Saksamaa)	Eesti NSV, Ungari Rahvavabariigi Szolnoki komitaadi ja Saksa DV Schwerini ringkonna sõprussidemed	1977	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Playa Giren (Sigade laht) (Kuuba)	Meie filmioperaatorid S. Školnikov ja M. Kask Kuubast	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Plovdiv (Bulgaaria)	Inimese jälg	1983	Dokumentaalfilm, Portreefilm
Plymouth (USA)	Koduaed, kuberneri vahtkond ja paraad Hartfordis, mereväelased New Yorgi maailmanäitusel	1940	Amatöörfilm, Kroonika
Plymouth (USA)	Puhkusereis Greenfieldi ja Bostoni vaated	1938	Amatöörfilm, Kroonika
Pohjanmaa (Soome)	Hundi süda sees	2015	Dokumentaalfilm, Muusikadokumentaal
Politseipark (Tallinn)	Aitäh	2020	Tudengifilm, Animafilm
Politseipark (Tallinn)	Vseviov	2020	Dokumentaalfilm, Portreefilm
Politseipark (Tallinn)	Vene dessantväed Tallinnas ja Eesti riikliku iseseisvuse väljakuulutamine	1991	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polli (Viljandimaa)	Õiglane maa	1978	Dokumentaalfilm, Olukirjeldusfilm
Polli (Viljandimaa)	Saagikoristus Polli katsebaasis	1973	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polli (Viljandimaa)	Mesinduspäev Pollis	1962	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polli (Viljandimaa)	Arhitektid vaba aega veetmas	1960	Amatöörfilm
Polli (Viljandimaa)	Polli harukordne õunasaak	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polli (Viljandimaa)	Vabariiklik aianduspäev Pollis	1954	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polli (Viljandimaa)	Taimekasvatusinstituudis	1953	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polli (Viljandimaa)	Mitšurinlikul teel	1949	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Polotski rajoon (Valgevene)	Kalinovski väljak	2007	Dokumentaalfilm, Probleemfilm
Poola	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Poola	Enam kui elu	2018	Dokumentaalfilm, Portreefilm
Poola	Ma elasin Eesti Vabariigis	2010	Dokumentaalfilm, Olukirjeldusfilm
Poola	Eestlased Kremlis	2006	Dokumentaalfilm
Poola	Neljakümnes sõda	2005	Dokumentaalfilm
Poola	Kristuse dilemma	1995	Dokumentaalfilm
Poola	Riigivanem I	1991	Dokumentaalfilm
Poola	Hitler & Stalin 1939	1989	Dokumentaalfilm
Poola	Hind	1978	Dokumentaalfilm
Poola	Poola motorevüü Tallinnas	1977	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Porkuni (Lääne-Virumaa) 	Seltsimees laps	2018	Mängufilm, Täispikk mängufilm
Porkuni (Lääne-Virumaa) 	Polaarpoiss	2016	Mängufilm, Täispikk mängufilm
Porkuni (Lääne-Virumaa) 	Oma sõnadega	1991	Dokumentaalfilm
Porkuni (Lääne-Virumaa) 	Laanekuningad	1981	Dokumentaalfilm
Porkuni (Lääne-Virumaa) 	Teekond konservitsehhist roosiaeda ehk osa tõde Simo Nõmmest	1980	Dokumentaalfilm
Porkuni (Lääne-Virumaa) 	Eesti Õpilaste Töömalev	1969	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Porkuni (Lääne-Virumaa) 	Sõjaveteranid	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Porkuni (Lääne-Virumaa) 	Ü.E.N.Ü. suvepidustused Porkunis	1938	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Poronin (Zakopane, Poola)	Villa Terezy Skupién	1970	Dokumentaalfilm
Port Elliot (Austraalia)	Austraalia eestlased 8. film	1995-1996	Amatöörfilm, Kroonika
Port Talbot (Suurbritannia)	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Portugal	Camino paradoks	2020	Dokumentaalfilm
Portugal	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Portugal	Portugal	2018	Mängufilm, Täispikk mängufilm
Portugal	Mustad teemandid	2013	Mängufilm, Täispikk mängufilm
Poruni jõgi (Ida-Virumaa)	Kas tunned maad?	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Porvoo (Soome)	Kalamaja-puitlinna võimalus	2001	Dokumentaalfilm, Olukirjeldusfilm
Porvoo (Soome)	Enn Nõu Eesti reis	1967	Amatöörfilm, Kroonika
Porvoo (Soome)	Enn Nõu Eestis ja Soomes 1967	1967	Amatöörfilm, Kroonika
Poska tänav (Tallinn)	Kodulinnast ja linnakodust	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Poska tänav (Tallinn)	Noorkotkad hoolitsevad laululindude eest	1937	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Postijaama plats (Tartu)	E.V. President K. Päts külaskäigul Tartus	1939	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Pozniaki linnaosa (Kiiev)	Jama	2010	Tudengifilm, Dokumentaalfilm
Potjomkinlaste väljak (Jalta, Ukraina)	Pingul keel	1987	Muusikafilm
Potomaci jõgi (Ameerika Ühendriigid) 	Perekond 47	1978	Amatöörfilm, Kroonika
Potomaci jõgi (Ameerika Ühendriigid) 	Ameerika Ühendriigid, Washington	1965	Amatöörfilm, Kroonika
Potsdam (Saksamaa)	EINASTO 11577	2014	Dokumentaalfilm, Portreefilm
Praha (Tšehhi)	Ankeet	2020	Dokumentaalfilm
Praha (Tšehhi)	Juured: Poeem armastusest	2018	Dokumentaalfilm
Praha (Tšehhi)	Otsides valgust	2014	Dokumentaalfilm, Portreefilm
Praha (Tšehhi)	Kosmos 68 - Legendid vol 1	2011	Dokumentaalfilm, Muusikadokumentaal
Praha (Tšehhi)	Monumentum kikilipsuga	2011	Dokumentaalfilm, Portreefilm
Praha (Tšehhi)	Ma elasin Eesti Vabariigis	2010	Dokumentaalfilm, Olukirjeldusfilm
Praha (Tšehhi)	Disko ja tuumasõda	2009	Dokumentaalfilm
Praha (Tšehhi)	Tuulepealsed leelod	2007	Dokumentaalfilm, Film filmi tegemisest
